row_label_raw,row_label_full,col_0,Thuyết minh,2017 Triệu VND,2016 Triệu VND,numeric__Thuyết minh,numeric__2017 Triệu VND,numeric__2016 Triệu VND
Trích lập dự phòng cụ thể tiền gửi và cho vay các TCTD khác,Trích lập dự phòng cụ thể tiền gửi và cho vay các TCTD khác,Trích lập dự phòng cụ thể tiền gửi và cho vay các TCTD khác,6,788,570,6.0,788.0,570.0
Biến động dự phòng cho vay khách hàng,Biến động dự phòng cho vay khách hàng,Biến động dự phòng cho vay khách hàng,,,,,,
Trích lập dự phòng chung,Biến động dự phòng cho vay khách hàng > Trích lập dự phòng chung,Trích lập dự phòng chung,9,18.183,84.845,9.0,18183.0,84845.0
Trích lập dự phòng cụ thể,Biến động dự phòng cho vay khách hàng > Trích lập dự phòng cụ thể,Trích lập dự phòng cụ thể,9,187.092,402.155,9.0,187092.0,402155.0
Biến động dự phòng mua bán nợ,Biến động dự phòng mua bán nợ,Biến động dự phòng mua bán nợ,,,,,,
Hoàn nhập dự phòng chung,Biến động dự phòng mua bán nợ > Hoàn nhập dự phòng chung,Hoàn nhập dự phòng chung,10,(499),(819),10.0,-499.0,-819.0
Trích lập/(hoàn nhập) dự phòng cụ thể,Biến động dự phòng mua bán nợ > Trích lập/(hoàn nhập) dự phòng cụ thể,Trích lập/(hoàn nhập) dự phòng cụ thể,10,33.573,(5.851),10.0,33573.0,-5851.0
Trích lập dự phòng trái phiếu đặc biệt do VAMC phát hành,Biến động dự phòng mua bán nợ > Trích lập dự phòng trái phiếu đặc biệt do VAMC phát hành,Trích lập dự phòng trái phiếu đặc biệt do VAMC phát hành,11,435.432,1.097.766,11.0,435432.0,1097766.0
Biến động dự phòng rủi ro cho số tiền chưa thu được của nợ đã bán,Biến động dự phòng rủi ro cho số tiền chưa thu được của nợ đã bán,Biến động dự phòng rủi ro cho số tiền chưa thu được của nợ đã bán,,,,,,
Trích lập dự phòng chung,Biến động dự phòng rủi ro cho số tiền chưa thu được của nợ đã bán > Trích lập dự phòng chung,Trích lập dự phòng chung,16,10.172,22.754,16.0,10172.0,22754.0
Trích lập dự phòng cụ thể,Biến động dự phòng rủi ro cho số tiền chưa thu được của nợ đã bán > Trích lập dự phòng cụ thể,Trích lập dự phòng cụ thể,16,332.618,141.966,16.0,332618.0,141966.0
,,,,1.017.359,1.743.386,,1017359.0,1743386.0
