row_label_raw,row_label_full,col_0,Vốn điều lệ,Thăng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Quỹ dự phòng tài chính,Quỹ dự trữ bổ sung vốn điều lệ,Quỹ đầu tư xây dựng cơ bản,Lợi nhuận chưa phân phối,Tổng cộng,numeric__Vốn điều lệ,numeric__Thăng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Quỹ dự phòng tài chính,numeric__Quỹ dự trữ bổ sung vốn điều lệ,numeric__Quỹ đầu tư xây dựng cơ bản,numeric__Lợi nhuận chưa phân phối,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,
Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,11.750.000,400.000,(114.980),3.397,503.108,126.125,608,919.078,13.587.336,11750000.0,400000.0,-114980.0,3397.0,503108.0,126125.0,608.0,919078.0,13587336.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,145.416,145.416,,,,,,,,145416.0,145416.0
Mua cổ phiếu quỹ,Mua cổ phiếu quỹ,Mua cổ phiếu quỹ,-,-,(155.750),-,-,-,-,-,(155.750),,,-155750.0,,,,,,-155750.0
Trích quỹ trong năm,Trích quỹ trong năm,Trích quỹ trong năm,-,-,-,-,12.261,6.131,-,(18.392),-,,,,,12261.0,6131.0,,-18392.0,
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,-,-,-,-,(517),-,-,-,(517),,,,,-517.0,,,,-517.0
Số dư tại ngày 31 tháng 12 năm 2016,Số dư tại ngày 31 tháng 12 năm 2016,Số dư tại ngày 31 tháng 12 năm 2016,11.750.000,400.000,(270.730),3.397,514.852,132.256,608,1.046.102,13.576.485,11750000.0,400000.0,-270730.0,3397.0,514852.0,132256.0,608.0,1046102.0,13576485.0
Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,11.750.000,400.000,(270.730),3.397,514.852,132.256,608,1.046.102,13.576.485,11750000.0,400000.0,-270730.0,3397.0,514852.0,132256.0,608.0,1046102.0,13576485.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,125.407,125.407,,,,,,,,125407.0,125407.0
Trích quỹ trong năm,Trích quỹ trong năm,Trích quỹ trong năm,-,-,-,-,14.542,7.271,-,(21.813),-,,,,,14542.0,7271.0,,-21813.0,
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,-,-,-,-,(77),-,-,-,(77),,,,,-77.0,,,,-77.0
Số dư tại ngày 31 tháng 12 năm 2017,Số dư tại ngày 31 tháng 12 năm 2017,Số dư tại ngày 31 tháng 12 năm 2017,11.750.000,400.000,(270.730),3.397,529.317,139.527,608,1.149.696,13.701.815,11750000.0,400000.0,-270730.0,3397.0,529317.0,139527.0,608.0,1149696.0,13701815.0
