row_label_raw,row_label_full,col_0,col_1,Thuyết minh,31/12/2017Triệu VND,31/12/2016Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__31/12/2017Triệu VND,numeric__31/12/2016Triệu VND
VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,,,,
VII,VII,VII,Vốn và các quỹ,,,,,,,
1,VII > 1,1,Vốn của TCTD,23,11.879.878,11.879.878,,23.0,11879878.0,11879878.0
a,VII > a,a,Vốn điều lệ,,11.750.000,11.750.000,,,11750000.0,11750000.0
b,VII > b,b,Vốn đầu tư xây dựng cơ bản,,608,608,,,608.0,608.0
c,VII > c,c,Thặng dư vốn cổ phần,,400.000,400.000,,,400000.0,400000.0
d,VII > d,d,Cổ phiếu quỹ,,(270.730),(270.730),,,-270730.0,-270730.0
2,VII > 2,2,Quỹ của TCTD,23,672.241,650.505,,23.0,672241.0,650505.0
3,VII > 3,3,Lợi nhuận chưa phân phối,23,1.149.696,1.046.102,,23.0,1149696.0,1046102.0
,,,TỔNG VỐN CHỦ SỞ HỮU,23,13.701.815,13.576.485,,23.0,13701815.0,13576485.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,112.589.321,92.293.871,,,112589321.0,92293871.0
