row_label_raw,row_label_full,col_0,Giá gốc và số có khả năng trả nợ,Giá gốc và số có khả năng trả nợ_1,numeric__Giá gốc và số có khả năng trả nợ,numeric__Giá gốc và số có khả năng trả nợ_1
,,,31/12/2022Triệu VND,1/1/2022Triệu VND,,
Các bên liên quan,Các bên liên quan,Các bên liên quan,Các bên liên quan,Các bên liên quan,,
Tập đoàn Vingroup – Công ty CP,Các bên liên quan > Tập đoàn Vingroup – Công ty CP,Tập đoàn Vingroup – Công ty CP,120.595,121.644,120595.0,121644.0
Công ty TNHH Vincom Retail Landmark 81,Các bên liên quan > Công ty TNHH Vincom Retail Landmark 81,Công ty TNHH Vincom Retail Landmark 81,65.992,-,65992.0,
Công ty Cổ phần Vinhomes,Các bên liên quan > Công ty Cổ phần Vinhomes,Công ty Cổ phần Vinhomes,57.932,81.335,57932.0,81335.0
Công ty Cổ phần Tư vấn Đầu tư và Đầu tư Việt Nam,Các bên liên quan > Công ty Cổ phần Tư vấn Đầu tư và Đầu tư Việt Nam,Công ty Cổ phần Tư vấn Đầu tư và Đầu tư Việt Nam,32.808,34.398,32808.0,34398.0
Các bên liên quan khác,Các bên liên quan > Các bên liên quan khác,Các bên liên quan khác,33.810,22.239,33810.0,22239.0
Các bên khác,Các bên khác,Các bên khác,Các bên khác,Các bên khác,,
Các nhà cung cấp khác,Các bên khác > Các nhà cung cấp khác,Các nhà cung cấp khác,89.975,163.960,89975.0,163960.0
,,,401.112,423.576,401112.0,423576.0
