row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,31/12/2022Triệu VND,1/1/2022Triệu VND,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2022Triệu VND,numeric__1/1/2022Triệu VND
Tài sản dài hạn(\( 200 = 210 + 220 + 230 + 240 + 250 + 260 \)),Tài sản dài hạn(\( 200 = 210 + 220 + 230 + 240 + 250 + 260 \)),Tài sản dài hạn(\( 200 = 210 + 220 + 230 + 240 + 250 + 260 \)),200,,27.699.698,25.726.380,200.0,,27699698.0,25726380.0
Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,210,,561,561,210.0,,561.0,561.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,216,,561,561,216.0,,561.0,561.0
Tài sản cố định,Tài sản cố định,Tài sản cố định,220,,19.184,20.399,220.0,,19184.0,20399.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,221,11,9.833,9.220,221.0,11.0,9833.0,9220.0
Nguyên giá,Nguyên giá,Nguyên giá,222,,22.186,17.454,222.0,,22186.0,17454.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,223,,(12.353),(8.234),223.0,,-12353.0,-8234.0
Tài sản cố định vô hình,Tài sản cố định vô hình,Tài sản cố định vô hình,227,12,9.351,11.179,227.0,12.0,9351.0,11179.0
Nguyên giá,Nguyên giá,Nguyên giá,228,,57.261,48.958,228.0,,57261.0,48958.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,229,,(47.910),(37.779),229.0,,-47910.0,-37779.0
Bất động sản đầu tư,Bất động sản đầu tư,Bất động sản đầu tư,230,13,5.341.202,4.628.689,230.0,13.0,5341202.0,4628689.0
Nguyên giá,Nguyên giá,Nguyên giá,231,,6.417.453,5.468.702,231.0,,6417453.0,5468702.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,232,,(1.076.251),(840.013),232.0,,-1076251.0,-840013.0
Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,240,,33.776,667.777,240.0,,33776.0,667777.0
Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,242,14,33.776,667.777,242.0,14.0,33776.0,667777.0
Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,250,,18.394.706,17.949.154,250.0,,18394706.0,17949154.0
Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,251,5(b),13.959.118,12.730.965,251.0,,13959118.0,12730965.0
Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,253,5(c),4.435.588,5.218.189,253.0,,4435588.0,5218189.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,260,,3.910.269,2.459.800,260.0,,3910269.0,2459800.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,261,15(b),107.478,53.208,261.0,,107478.0,53208.0
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,262,,17.441,2.172,262.0,,17441.0,2172.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,268,10,3.785.350,2.404.420,268.0,10.0,3785350.0,2404420.0
TỔNG TÀI SẢN (\( 270 = 100 + 200 \)),TỔNG TÀI SẢN (\( 270 = 100 + 200 \)),TỔNG TÀI SẢN (\( 270 = 100 + 200 \)),270,,30.402.211,30.172.496,270.0,,30402211.0,30172496.0
