row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,31/12/2022 Triệu VND,1/1/2022 Triệu VND,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2022 Triệu VND,numeric__1/1/2022 Triệu VND
NGUỒN VỐN,NGUỒN VỐN,NGUỒN VỐN,NGUỒN VỐN,NGUỒN VỐN,NGUỒN VỐN,NGUỒN VỐN,,,,
NỘ PHẢI TRẢ (300 = 310 + 330),NGUỒN VỐN > NỘ PHẢI TRẢ (300 = 310 + 330),NỘ PHẢI TRẢ (300 = 310 + 330),300,,4.429.965,4.704.097,300.0,,4429965.0,4704097.0
Nợ ngắn hạn,NGUỒN VỐN > Nợ ngắn hạn,Nợ ngắn hạn,310,,2.069.836,1.387.945,310.0,,2069836.0,1387945.0
Phải trả người bán ngắn hạn,NGUỒN VỐN > Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,311,16,401.112,423.576,311.0,16.0,401112.0,423576.0
Người mua trả tiền trước ngắn hạn,NGUỒN VỐN > Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,312,17,31.771,241.113,312.0,17.0,31771.0,241113.0
Thuế và các khoản phải nộp Nhà nước,NGUỒN VỐN > Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,313,18,131.007,31.124,313.0,18.0,131007.0,31124.0
Chi phí phải trả ngắn hạn,NGUỒN VỐN > Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,315,19,243.332,382.301,315.0,19.0,243332.0,382301.0
Doanh thu chưa thực hiện ngắn hạn,NGUỒN VỐN > Doanh thu chưa thực hiện ngắn hạn,Doanh thu chưa thực hiện ngắn hạn,318,20(a),22.816,23.764,318.0,,22816.0,23764.0
Phải trả ngắn hạn khác,NGUỒN VỐN > Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,319,21(a),193.900,284.362,319.0,,193900.0,284362.0
Trái phiếu phát hành ngắn hạn,NGUỒN VỐN > Trái phiếu phát hành ngắn hạn,Trái phiếu phát hành ngắn hạn,320,22,1.045.484,-,320.0,22.0,1045484.0,
Dự phòng phải trả ngắn hạn,NGUỒN VỐN > Dự phòng phải trả ngắn hạn,Dự phòng phải trả ngắn hạn,321,23,414,1.705,321.0,23.0,414.0,1705.0
Nợ dài hạn,NGUỒN VỐN > Nợ dài hạn,Nợ dài hạn,330,,2.360.129,3.316.152,330.0,,2360129.0,3316152.0
Doanh thu chưa thực hiện dài hạn,NGUỒN VỐN > Doanh thu chưa thực hiện dài hạn,Doanh thu chưa thực hiện dài hạn,336,20(b),176.166,166.088,336.0,,176166.0,166088.0
Phải trả dài hạn khác,NGUỒN VỐN > Phải trả dài hạn khác,Phải trả dài hạn khác,337,21(c),235.123,184.072,337.0,,235123.0,184072.0
Trái phiếu phát hành dài hạn,NGUỒN VỐN > Trái phiếu phát hành dài hạn,Trái phiếu phát hành dài hạn,338,22,1.948.840,2.965.992,338.0,22.0,1948840.0,2965992.0
VỐN CHỦ SỞ HỮU (400 = 410),NGUỒN VỐN > VỐN CHỦ SỞ HỮU (400 = 410),VỐN CHỦ SỞ HỮU (400 = 410),400,,25.972.246,25.468.399,400.0,,25972246.0,25468399.0
Vốn chủ sở hữu,NGUỒN VỐN > Vốn chủ sở hữu,Vốn chủ sở hữu,410,24,25.972.246,25.468.399,410.0,24.0,25972246.0,25468399.0
Vốn cổ phần,NGUỒN VỐN > Vốn cổ phần,Vốn cổ phần,411,25,23.288.184,23.288.184,411.0,25.0,23288184.0,23288184.0
- Cổ phiếu phổ thông có quyền biểu quyết,NGUỒN VỐN > - Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,23.288.184,23.288.184,,,23288184.0,23288184.0
Thặng dư vốn cổ phần,NGUỒN VỐN > Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,412,,46.983,46.983,412.0,,46983.0,46983.0
Cổ phiếu quỹ,NGUỒN VỐN > Cổ phiếu quỹ,Cổ phiếu quỹ,415,,(1.954.258),(1.954.258),415.0,,-1954258.0,-1954258.0
Quỹ khác thuộc vốn chủ sở hữu,NGUỒN VỐN > Quỹ khác thuộc vốn chủ sở hữu,Quỹ khác thuộc vốn chủ sở hữu,420,,5.000,5.000,420.0,,5000.0,5000.0
Lợi nhuận sau thuế chưa phân phối,NGUỒN VỐN > Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,421,,4.586.337,4.082.490,421.0,,4586337.0,4082490.0
- LNST chưa phân phối đến cuối năm trước,NGUỒN VỐN > - LNST chưa phân phối đến cuối năm trước,- LNST chưa phân phối đến cuối năm trước,421a,,4.082.490,3.625.098,,,4082490.0,3625098.0
- LNST chưa phân phối năm nay,NGUỒN VỐN > - LNST chưa phân phối năm nay,- LNST chưa phân phối năm nay,421b,,503.847,457.392,,,503847.0,457392.0
TỔNG NGUỒN VỐN (440 = 300 + 400),NGUỒN VỐN > TỔNG NGUỒN VỐN (440 = 300 + 400),TỔNG NGUỒN VỐN (440 = 300 + 400),440,,30.402.211,30.172.496,440.0,,30402211.0,30172496.0
