row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu VND",Máy mócvà thiết bịTriệu VND,Thiết bịvăn phòngTriệu VND,Tổng cộngTriệu VND,"numeric__Nhà cửa,vật kiến trúcTriệu VND",numeric__Máy mócvà thiết bịTriệu VND,numeric__Thiết bịvăn phòngTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,226,13.558,3.670,17.454,226.0,13558.0,3670.0,17454.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,2.694,2.038,4.732,,2694.0,2038.0,4732.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,226,16.252,5.708,22.186,226.0,16252.0,5708.0,22186.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,226,6.525,1.483,8.234,226.0,6525.0,1483.0,8234.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,3.398,721,4.119,,3398.0,721.0,4119.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,226,9.923,2.204,12.353,226.0,9923.0,2204.0,12353.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,-,7.033,2.187,9.220,,7033.0,2187.0,9220.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,-,6.329,3.504,9.833,,6329.0,3504.0,9833.0
