row_label_raw,row_label_full,col_0,Công ty An Vinh,"Công ty An Phat International, Inc.",Đơn vị tính: VND,numeric__Công ty An Vinh,"numeric__Công ty An Phat International, Inc.",numeric__Đơn vị tính: VND
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,15.991.554.209,-,15.991.554.209,15991554209.0,,15991554209.0
- Tăng trong năm,Nguyên giá: > - Tăng trong năm,- Tăng trong năm,-,24.819.303.441,24.819.303.441,,24819303441.0,24819303441.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,15.991.554.209,24.819.303.441,40.810.857.650,15991554209.0,24819303441.0,40810857650.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,799.577.710,-,799.577.710,799577710.0,,799577710.0
Hao mòn trong năm,Giá trị hao mòn lũy kế: > Hao mòn trong năm,Hao mòn trong năm,1.599.155.421,1.861.447.758,3.460.603.179,1599155421.0,1861447758.0,3460603179.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,2.398.733.131,1.861.447.758,4.260.180.889,2398733131.0,1861447758.0,4260180889.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,15.191.976.499,-,15.191.976.499,15191976499.0,,15191976499.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,13.592.821.078,22.957.855.683,36.550.676.761,13592821078.0,22957855683.0,36550676761.0
