row_label_raw,row_label_full,Tên đơn vị,Địa chỉ,Hoạt động chính,numeric__Địa chỉ,numeric__Hoạt động chính
Công ty Nhựa Hà Nội,Công ty Nhựa Hà Nội,Công ty Nhựa Hà Nội,"Tổ 12, phường Phúc Lợi,quận Long Biên, thành phốHà Nội","Sản xuất, kinhdoanh các sản phẩm nhựa loạikhuồn mẫu",,
Công ty Nhựa Bao bì Vinh,Công ty Nhựa Bao bì Vinh,Công ty Nhựa Bao bì Vinh,"Khối 8, phường Bến Thủy,thành phố Vinh, tỉnh Nghệ An","Sản xuất, mua, bánbao bì xi măng, bao bì PP, PE và các sản phẩm bằng nhựa",,
Công ty Sunrise,Công ty Sunrise,Công ty Sunrise,"Lô CN11+CN12, Cụm CNAn Đồng, thị trấn Nam Sách,huyện Nam Sách, tỉnh Hải Dương",Sản xuất nhựa và cao su tổng hợp dạng nguyên sinh,,
Công ty An Đông,Công ty An Đông,Công ty An Đông,"Lô B1, Khu Công nghiệp kỹ thuật cao An Phát, Km47,Quốc lộ 5, Phường Việt Hòa, Thành phố Hải Dương,Tỉnh Hải Dương","Kinh doanh xăng,dầu",,
Công ty Cổ phần ANCOP,Công ty Cổ phần ANCOP,Công ty Cổ phần ANCOP,"Khu Công nghiệp kỹ thuật cao An Phát, Km47, Quốc lộ 5, Phường Việt Hòa, Thành phố Hải Dương, Tỉnh Hải Dương","Cung cấp, phân phối nước cho khu công nghiệp",,
