row_label_raw,row_label_full,Công ty TNHH Sản phẩm giấy LEO (Việt Nam),Số cuối năm > 3.233.011.924,Đơn vị tính: VND > 15.067.684.896,numeric__Số cuối năm > 3.233.011.924,numeric__Đơn vị tính: VND > 15.067.684.896
Đối tượng khác,Đối tượng khác,Đối tượng khác,144.697.120.622,91.353.352.396,144697120622.0,91353352396.0
Trả trước từ bên liên quan (Thuyết minh số 35),Trả trước từ bên liên quan (Thuyết minh số 35),Trả trước từ bên liên quan (Thuyết minh số 35),48.996.868,102.847.814,48996868.0,102847814.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,147.979.129.414,106.523.885.106,147979129414.0,106523885106.0
