row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị có thể thu hồi được,Đơn vị tính: VND Số đầu năm > Giá gốc,Đơn vị tính: VND Số đầu năm > Giá trị có thể thu hồi được,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị có thể thu hồi được,numeric__Đơn vị tính: VND Số đầu năm > Giá gốc,numeric__Đơn vị tính: VND Số đầu năm > Giá trị có thể thu hồi được
Công ty TNHH Sản xuất Thương mại Xuất,Công ty TNHH Sản xuất Thương mại Xuất,Công ty TNHH Sản xuất Thương mại Xuất,8.338.103.600,-,8.338.103.600,4.169.051.800,8338103600.0,,8338103600.0,4169051800.0
Nhập khấu Phúc Hưng,Nhập khấu Phúc Hưng,Nhập khấu Phúc Hưng,1.226.080.800,-,1.243.920.600,-,1226080800.0,,1243920600.0,
Công ty TNHH Dalian Hualaite Trading,Công ty TNHH Dalian Hualaite Trading,Công ty TNHH Dalian Hualaite Trading,1.477.191.946,215.176.566,6.333.733.300,-,1477191946.0,215176566.0,6333733300.0,
Khác,Khác,Khác,,,,,,,,
TỔNG CỘNG,Khác > TỔNG CỘNG,TỔNG CỘNG,11.041.376.346,215.176.566,15.915.757.500,4.169.051.800,11041376346.0,215176566.0,15915757500.0,4169051800.0
