row_label_raw,row_label_full,Đầu tư vào công ty liên kết(Thuyết minh số 17.1),Số cuối năm > Giá gốc > Đầu tư vào công ty liên kết(Thuyết minh số 17.1),Số cuối năm > Dự phòng > Đầu tư vào công ty liên kết(Thuyết minh số 17.1),Số cuối năm > Giá trị hợp lý > Đầu tư vào công ty liên kết(Thuyết minh số 17.1),Số đầu năm > Giá gốc > Đầu tư vào công ty liên kết(Thuyết minh số 17.1),Số đầu năm > Dự phòng > Đầu tư vào công ty liên kết(Thuyết minh số 17.1),Số đầu năm > Giá trị hợp lý > Đầu tư vào công ty liên kết(Thuyết minh số 17.1),numeric__Số cuối năm > Giá gốc > Đầu tư vào công ty liên kết(Thuyết minh số 17.1),numeric__Số cuối năm > Dự phòng > Đầu tư vào công ty liên kết(Thuyết minh số 17.1),numeric__Số cuối năm > Giá trị hợp lý > Đầu tư vào công ty liên kết(Thuyết minh số 17.1),numeric__Số đầu năm > Giá gốc > Đầu tư vào công ty liên kết(Thuyết minh số 17.1),numeric__Số đầu năm > Dự phòng > Đầu tư vào công ty liên kết(Thuyết minh số 17.1),numeric__Số đầu năm > Giá trị hợp lý > Đầu tư vào công ty liên kết(Thuyết minh số 17.1)
"Công ty Cổ phần Nhựa Hà Nội (""Công ty Nhựa Hà Nội"") (i) (v)","Công ty Cổ phần Nhựa Hà Nội (""Công ty Nhựa Hà Nội"") (i) (v)","Công ty Cổ phần Nhựa Hà Nội (""Công ty Nhựa Hà Nội"") (i) (v)",405.292.410.612,-,311.450.280.000,373.668.028.801,-,418.971.397.600,405292410612.0,,311450280000.0,373668028801.0,,418971397600.0
"Công ty Cổ phần Nhựa Bao bì Vinh(""Công ty Nhựa Bao bì Vinh"") (ii) (v)","Công ty Cổ phần Nhựa Bao bì Vinh(""Công ty Nhựa Bao bì Vinh"") (ii) (v)","Công ty Cổ phần Nhựa Bao bì Vinh(""Công ty Nhựa Bao bì Vinh"") (ii) (v)",76.966.339.609,-,66.900.966.400,-,-,-,76966339609.0,,66900966400.0,,,
"Công ty Cổ phần Sản xuất Tổng hợpSunrise Việt Nam (""Công ty Sunrise"")","Công ty Cổ phần Sản xuất Tổng hợpSunrise Việt Nam (""Công ty Sunrise"")","Công ty Cổ phần Sản xuất Tổng hợpSunrise Việt Nam (""Công ty Sunrise"")",32.075.519.850,-,(*),27.035.263.377,-,(*),32075519850.0,,,27035263377.0,,
"Công ty Cổ phần Dịch vụ Xăng dấu AnĐông (""Công ty An Đông"") (iii)","Công ty Cổ phần Dịch vụ Xăng dấu AnĐông (""Công ty An Đông"") (iii)","Công ty Cổ phần Dịch vụ Xăng dấu AnĐông (""Công ty An Đông"") (iii)",6.600.000.000,-,(*),600.000.000,-,(*),6600000000.0,,,600000000.0,,
Công ty Cổ phần ANCOP (iv),Công ty Cổ phần ANCOP (iv),Công ty Cổ phần ANCOP (iv),980.000.000,-,(*),-,-,-,980000000.0,,,,,
Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,,,,,,
"Công ty Cổ phần Nhựa Bao bì Vinh(""Công ty Bao bì Vinh"")","Đầu tư góp vốn vào đơn vị khác > Công ty Cổ phần Nhựa Bao bì Vinh(""Công ty Bao bì Vinh"")","Công ty Cổ phần Nhựa Bao bì Vinh(""Công ty Bao bì Vinh"")",-,-,-,17.353.094.158,(478.094.158),16.875.000.000,,,,17353094158.0,-478094158.0,16875000000.0
Công ty Cổ phần Giải pháp và Phầnmềm Dịch vụ Nam Việt,Đầu tư góp vốn vào đơn vị khác > Công ty Cổ phần Giải pháp và Phầnmềm Dịch vụ Nam Việt,Công ty Cổ phần Giải pháp và Phầnmềm Dịch vụ Nam Việt,17.995.000.000,-,(*),-,-,-,17995000000.0,,,,,
Đầu tư nắm giữ đến ngày đáo hạn(Thuyết minh số 17.2),Đầu tư nắm giữ đến ngày đáo hạn(Thuyết minh số 17.2),Đầu tư nắm giữ đến ngày đáo hạn(Thuyết minh số 17.2),Đầu tư nắm giữ đến ngày đáo hạn(Thuyết minh số 17.2),Đầu tư nắm giữ đến ngày đáo hạn(Thuyết minh số 17.2),Đầu tư nắm giữ đến ngày đáo hạn(Thuyết minh số 17.2),Đầu tư nắm giữ đến ngày đáo hạn(Thuyết minh số 17.2),Đầu tư nắm giữ đến ngày đáo hạn(Thuyết minh số 17.2),Đầu tư nắm giữ đến ngày đáo hạn(Thuyết minh số 17.2),,,,,,
Đầu tư trái phiếu,Đầu tư nắm giữ đến ngày đáo hạn(Thuyết minh số 17.2) > Đầu tư trái phiếu,Đầu tư trái phiếu,30.000.000.000,-,(*),70.000.000.000,-,(*),30000000000.0,,,70000000000.0,,
TỔNG CỘNG,Đầu tư nắm giữ đến ngày đáo hạn(Thuyết minh số 17.2) > TỔNG CỘNG,TỔNG CỘNG,569.909.270.071,-,,488.656.386.336,(478.094.158),,569909270071.0,,,488656386336.0,-478094158.0,
