row_label_raw,row_label_full,Công ty An Cường,Công ty cùng Tập đoàn,Phải thu khác,920.619.887,5.691.549.978,numeric__Công ty cùng Tập đoàn,numeric__Phải thu khác,numeric__920.619.887,numeric__5.691.549.978
Công ty An Phát Holdings,Công ty An Phát Holdings,Công ty An Phát Holdings,Công ty mẹ,Phải thu lãi cho vay,-,8.295.782.954,,,,8295782954.0
Công ty APA,Công ty APA,Công ty APA,Công ty con (kể từ ngày 15 tháng 4 năm 2021),Đặt cọc mua cổ phần,-,115.829.400.000,,,,115829400000.0
Ông Phạm Hoàng Việt,Ông Phạm Hoàng Việt,Ông Phạm Hoàng Việt,Lãnh đạo chủ chốt,Chi hộ và tạm ứng,59.427.863,6.600.841.502,,,59427863.0,6600841502.0
Ông Phạm Ánh Dương,Ông Phạm Ánh Dương,Ông Phạm Ánh Dương,Lãnh đạo chủ chốt,Chi hộ và tạm ứng,1.441.482.950,5.025.442.885,,,1441482950.0,5025442885.0
Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,,,1.422.339.842,1.268.081.300,,,1422339842.0,1268081300.0
,,,,,3.843.870.542,142.711.098.619,,,3843870542.0,142711098619.0
