row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Đơn vị tính: VND > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Đơn vị tính: VND > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1)
Công ty An Cường,Công ty An Cường,Công ty An Cường,Công ty cùng Tập đoàn,Bán hàng hóa và cung cấp dịch vụ,5.152.837.392,44.079.496.082,,,5152837392.0,44079496082.0
Công ty Nhựa Hà Nội,Công ty Nhựa Hà Nội,Công ty Nhựa Hà Nội,Công ty liên kết,Bán hàng hóa,3.042.328.835,673.574.000,,,3042328835.0,673574000.0
Công ty An Phát Holdings,Công ty An Phát Holdings,Công ty An Phát Holdings,Công ty mẹ,Bán hàng hóa,-,1.525.678.315,,,,1525678315.0
Công ty Cổ phần Anbio,Công ty Cổ phần Anbio,Công ty Cổ phần Anbio,Công ty cùng lãnh đạo chủ chốt,Bán hàng hóa,2.792.420.603,-,,,2792420603.0,
Ankor Bioplastics Co. Ltd,Ankor Bioplastics Co. Ltd,Ankor Bioplastics Co. Ltd,Công ty cùng lãnh đạo chủ chốt,Bán hàng hóa,4.998.912.000,-,,,4998912000.0,
Công ty APA,Công ty APA,Công ty APA,Công ty con (kể từ ngày 15 tháng 4 năm 2021),Bán hàng hóa,-,11.206.681.478,,,,11206681478.0
Công ty Nhựa Bao bì Vinh,Công ty Nhựa Bao bì Vinh,Công ty Nhựa Bao bì Vinh,Công ty liên kết,Bán hàng hóa,4.692.600.000,-,,,4692600000.0,
Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,,,1.882.151.082,3.207.709.311,,,1882151082.0,3207709311.0
,,,,,22.561.249.912,60.693.139.186,,,22561249912.0,60693139186.0
Phải thu dài hạn của khách hàng (Thuyết minh số 7.1),Phải thu dài hạn của khách hàng (Thuyết minh số 7.1),Phải thu dài hạn của khách hàng (Thuyết minh số 7.1),Phải thu dài hạn của khách hàng (Thuyết minh số 7.1),Phải thu dài hạn của khách hàng (Thuyết minh số 7.1),Phải thu dài hạn của khách hàng (Thuyết minh số 7.1),Phải thu dài hạn của khách hàng (Thuyết minh số 7.1),,,,
Công ty An Cường,Phải thu dài hạn của khách hàng (Thuyết minh số 7.1) > Công ty An Cường,Công ty An Cường,Công ty cùng Tập đoàn,Bán hàng hóa,149.385.457.557,42.725.601.801,,,149385457557.0,42725601801.0
Ankor Bioplastics Co. Ltd,Phải thu dài hạn của khách hàng (Thuyết minh số 7.1) > Ankor Bioplastics Co. Ltd,Ankor Bioplastics Co. Ltd,Công ty cùng lãnh đạo chủ chốt,Bán máy,68.443.341.120,-,,,68443341120.0,
,,,,,217.828.798.677,42.725.601.801,,,217828798677.0,42725601801.0
