row_label_raw,row_label_full,Ông Phạm Ánh Dương,Chủ tịch,col_2,numeric__Chủ tịch,numeric__col_2
Ông Nguyễn Lê Trung,Ông Nguyễn Lê Trung,Ông Nguyễn Lê Trung,Phó Chủ tịch,Bổ nhiệm ngày 30 tháng 6 năm 2021,,
Ông Nguyễn Lê Thăng Long,Ông Nguyễn Lê Thăng Long,Ông Nguyễn Lê Thăng Long,Phó Chủ tịch,Bổ nhiệm ngày 30 tháng 6 năm 2021,,
Bà Hòa Thị Thu Hà,Bà Hòa Thị Thu Hà,Bà Hòa Thị Thu Hà,Thành viên,,,
Ông Đình Xuân Cường,Ông Đình Xuân Cường,Ông Đình Xuân Cường,Thành viên,,,
Bà Nguyễn Thị Tiên,Bà Nguyễn Thị Tiên,Bà Nguyễn Thị Tiên,Thành viên,Bổ nhiệm ngày 5 tháng 2 năm 2021,,
Bà Trần Thị Thoản,Bà Trần Thị Thoản,Bà Trần Thị Thoản,Thành viên,Bổ nhiệm ngày 5 tháng 2 năm 2021,,
Ông Phạm Hoàng Việt,Ông Phạm Hoàng Việt,Ông Phạm Hoàng Việt,Thành viên,Miễn nhiệm ngày 29 tháng 6 năm 2021,,
