row_label_raw,row_label_full,"Số cuối năm > Tỷ lệ vốn nămgiữ trực tiếp (%)21,37","Số cuối năm > Tỷ lệ quyền biểu quyết (%)21,37","Số đầu năm > Tỷ lệ vốn nămgiữ trực tiếp (%)20,24","Số đầu năm > Tỷ lệ quyềnbiểu quyết (%)20,24","numeric__Số cuối năm > Tỷ lệ quyền biểu quyết (%)21,37","numeric__Số đầu năm > Tỷ lệ vốn nămgiữ trực tiếp (%)20,24","numeric__Số đầu năm > Tỷ lệ quyềnbiểu quyết (%)20,24"
"34,84","34,84","34,84","34,84","10,00","10,00",34.84,10.0,10.0
"31,25%","31,25%","31,25%",48%,"35,58%",48%,0.48,0.3558,0.48
"10,61%","10,61%","10,61%",30%,"13,34%",30%,0.3,0.1334,0.3
"45,11%","45,11%","45,11%",49%,-,-,0.49,,
