row_label_raw,row_label_full,col_0,Don vị tính: VND,Don vị tính: VND_1,numeric__Don vị tính: VND,numeric__Don vị tính: VND_1
,,,Năm nay,Năm trước,,
Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,13.154.009.928.330,7.438.249.657.913,13154009928330.0,7438249657913.0
Trong đó:,Trong đó:,Trong đó:,,,,
Doanh thu bán hàng hóa,Trong đó: > Doanh thu bán hàng hóa,Doanh thu bán hàng hóa,7.912.835.721.036,3.344.596.531.869,7912835721036.0,3344596531869.0
Doanh thu bán thành phẩm,Trong đó: > Doanh thu bán thành phẩm,Doanh thu bán thành phẩm,4.527.831.799.549,3.915.485.778.096,4527831799549.0,3915485778096.0
"Doanh thu bán nhà xuống, cho thuê đấtvà hạ tầng khu công nghiệp (*)","Trong đó: > Doanh thu bán nhà xuống, cho thuê đấtvà hạ tầng khu công nghiệp (*)","Doanh thu bán nhà xuống, cho thuê đấtvà hạ tầng khu công nghiệp (*)",412.659.162.748,72.405.381.606,412659162748.0,72405381606.0
Doanh thu cung cấp dịch vụ,Trong đó: > Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,294.460.852.559,103.227.446.818,294460852559.0,103227446818.0
Doanh thu hoạt động khác,Trong đó: > Doanh thu hoạt động khác,Doanh thu hoạt động khác,6.222.392.438,2.534.519.524,6222392438.0,2534519524.0
Các khoản giảm trừ doanh thu,Trong đó: > Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,(10.900.064.329),(9.692.642.869),-10900064329.0,-9692642869.0
Hàng bán trả lại,Trong đó: > Hàng bán trả lại,Hàng bán trả lại,(7.952.650.516),(7.118.039.169),-7952650516.0,-7118039169.0
Giảm giá hàng bán,Trong đó: > Giảm giá hàng bán,Giảm giá hàng bán,(2.862.992.013),(2.567.375.125),-2862992013.0,-2567375125.0
Chiết khấu thương mại,Trong đó: > Chiết khấu thương mại,Chiết khấu thương mại,(84.421.800),(7.228.575),-84421800.0,-7228575.0
Doanh thu thuần,Trong đó: > Doanh thu thuần,Doanh thu thuần,13.143.109.864.001,7.428.557.015.044,13143109864001.0,7428557015044.0
Trong đó:,Trong đó:,Trong đó:,,,,
Doanh thu đối với bên khác,Trong đó: > Doanh thu đối với bên khác,Doanh thu đối với bên khác,12.519.350.467.383,7.331.901.280.772,12519350467383.0,7331901280772.0
Doanh thu đối với bên liên quan,Trong đó: > Doanh thu đối với bên liên quan,Doanh thu đối với bên liên quan,623.759.396.618,96.655.734.272,623759396618.0,96655734272.0
