row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
"Phải thu từ cho thuê dài hạn đất, hạ tầng khu công nghiệp, bán nhà xưởng và các dịch vụ liên quan","Ngắn hạn > Phải thu từ cho thuê dài hạn đất, hạ tầng khu công nghiệp, bán nhà xưởng và các dịch vụ liên quan","Phải thu từ cho thuê dài hạn đất, hạ tầng khu công nghiệp, bán nhà xưởng và các dịch vụ liên quan",24.493.448.269,2.262.494.898,24493448269.0,2262494898.0
Phải thu về chuyển nhượng cổ phần,Ngắn hạn > Phải thu về chuyển nhượng cổ phần,Phải thu về chuyển nhượng cổ phần,54.492.480.000,-,54492480000.0,
"Phải thu liên quan đến hoạt động kinh doanh hạt nhựa, bao bì và dịch vụ khác","Ngắn hạn > Phải thu liên quan đến hoạt động kinh doanh hạt nhựa, bao bì và dịch vụ khác","Phải thu liên quan đến hoạt động kinh doanh hạt nhựa, bao bì và dịch vụ khác",1.057.574.823.034,590.769.108.548,1057574823034.0,590769108548.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,1.136.560.751.303,593.031.603.446,1136560751303.0,593031603446.0
Dự phòng phải thu ngắn hạn khó đòi,Ngắn hạn > Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,(9.600.118.980),(5.210.485.100),-9600118980.0,-5210485100.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu ngắn hạn từ khách hàng khác,Trong đó: > Phải thu ngắn hạn từ khách hàng khác,Phải thu ngắn hạn từ khách hàng khác,1.113.999.501.391,532.338.464.260,1113999501391.0,532338464260.0
Phải thu ngắn hạn từ các bên liên quan (Thuyết minh số 35),Trong đó: > Phải thu ngắn hạn từ các bên liên quan (Thuyết minh số 35),Phải thu ngắn hạn từ các bên liên quan (Thuyết minh số 35),22.561.249.912,60.693.139.186,22561249912.0,60693139186.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Phải thu từ bên liên quan (*) (Thuyết minh số 35),Dài hạn > Phải thu từ bên liên quan (*) (Thuyết minh số 35),Phải thu từ bên liên quan (*) (Thuyết minh số 35),217.828.798.677,42.725.601.801,217828798677.0,42725601801.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,217.828.798.677,42.725.601.801,217828798677.0,42725601801.0
