row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Cho vay bằng VND (i),Ngắn hạn > Cho vay bằng VND (i),Cho vay bằng VND (i),40.000.000.000,33.821.490.561,40000000000.0,33821490561.0
Cho vay bằng USD (ii),Ngắn hạn > Cho vay bằng USD (ii),Cho vay bằng USD (ii),28.350.000.000,230.100.000,28350000000.0,230100000.0
Cho vay bên liên quan (Thuyết minh số 35),Ngắn hạn > Cho vay bên liên quan (Thuyết minh số 35),Cho vay bên liên quan (Thuyết minh số 35),16.556.400.000,8.592.300.000,16556400000.0,8592300000.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,84.906.400.000,42.643.890.561,84906400000.0,42643890561.0
Dự phòng phải thu khó đòi,Ngắn hạn > Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,-,(5.292.300.000),,-5292300000.0
Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,,
Cho vay bằng USD (iii),Dải hạn > Cho vay bằng USD (iii),Cho vay bằng USD (iii),14.699.588.400,-,14699588400.0,
Cho vay bên liên quan (Thuyết minh số 35),Dải hạn > Cho vay bên liên quan (Thuyết minh số 35),Cho vay bên liên quan (Thuyết minh số 35),30.000.000.000,114.055.000.000,30000000000.0,114055000000.0
TỔNG CỘNG,Dải hạn > TỔNG CỘNG,TỔNG CỘNG,44.699.588.400,114.055.000.000,44699588400.0,114055000000.0
