row_label_raw,row_label_full,Năm phát sinh > Chuyển lỗ trong vòng 5 năm > 2018 > 2019,Có thể chuyển lỗ đến năm > Chuyển lỗ trong vòng 5 năm > 2023 > 2024,Lỗ tính thuế > Chuyển lỗ trong vòng 5 năm > (13.900.469.739) > (19.775.416.323),Đã chuyển lỗ đến ngày 31/12/2021 > Chuyển lỗ trong vòng 5 năm > 13.900.469.739 > 5.919.251.661,Không được chuyển lỗ > Chuyển lỗ trong vòng 5 năm > -,Đơn vị tính: VNDChưa chuyển lỗ tại ngày 31/12/2021 > Chuyển lỗ trong vòng 5 năm > - > (13.856.164.662),numeric__Có thể chuyển lỗ đến năm > Chuyển lỗ trong vòng 5 năm > 2023 > 2024,numeric__Lỗ tính thuế > Chuyển lỗ trong vòng 5 năm > (13.900.469.739) > (19.775.416.323),numeric__Đã chuyển lỗ đến ngày 31/12/2021 > Chuyển lỗ trong vòng 5 năm > 13.900.469.739 > 5.919.251.661,numeric__Không được chuyển lỗ > Chuyển lỗ trong vòng 5 năm > -,numeric__Đơn vị tính: VNDChưa chuyển lỗ tại ngày 31/12/2021 > Chuyển lỗ trong vòng 5 năm > - > (13.856.164.662)
,,,,(33.675.886.062),19.819.721.400,-,(13.856.164.662),,-33675886062.0,19819721400.0,,-13856164662.0
Không giới hạn thời gian chuyển lỗ,Không giới hạn thời gian chuyển lỗ,Không giới hạn thời gian chuyển lỗ,Không giới hạn thời gian chuyển lỗ,Không giới hạn thời gian chuyển lỗ,Không giới hạn thời gian chuyển lỗ,Không giới hạn thời gian chuyển lỗ,Không giới hạn thời gian chuyển lỗ,,,,,
2020,Không giới hạn thời gian chuyển lỗ > 2020,2020,,(25.038.430.320),4.968.011.320,-,(20.070.419.000),,-25038430320.0,4968011320.0,,-20070419000.0
2021,Không giới hạn thời gian chuyển lỗ > 2021,2021,,(31.149.771.276),-,-,(31.149.771.276),,-31149771276.0,,,-31149771276.0
,,,,(56.188.201.596),4.968.011.320,-,(51.220.190.276),,-56188201596.0,4968011320.0,,-51220190276.0
TỔNG CỘNG,Không giới hạn thời gian chuyển lỗ > TỔNG CỘNG,TỔNG CỘNG,,(89.864.087.658),24.787.732.720,-,(65.076.354.938),,-89864087658.0,24787732720.0,,-65076354938.0
