row_label_raw,row_label_full,Bên liên quan > Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2),Mối quan hệ > Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2),Nội dung nghiệp vụ > Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2),Số cuối năm > Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2),Đơn vị tính: VND > Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2),numeric__Mối quan hệ > Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2),numeric__Nội dung nghiệp vụ > Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2),numeric__Số cuối năm > Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2),numeric__Đơn vị tính: VND > Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2)
Công ty An Trung,Công ty An Trung,Công ty An Trung,Công ty cùng Tập đoàn,Mua hàng hóa,-,7.957.494.058,,,,7957494058.0
Công ty An Cường,Công ty An Cường,Công ty An Cường,Công ty cùng Tập đoàn,Mua hàng hóa,-,7.194.018.208,,,,7194018208.0
Ankor Bioplastics Co. Ltd,Ankor Bioplastics Co. Ltd,Ankor Bioplastics Co. Ltd,Công ty cùng lãnh đạo chủ chốt,Mua hàng hóa,2.255.241.688,2.452.714.488,,,2255241688.0,2452714488.0
Công ty Sunrise,Công ty Sunrise,Công ty Sunrise,Công ty liên kết,Mua hàng hóa,372.147.477,-,,,372147477.0,
Công ty APA,Công ty APA,Công ty APA,Công ty con (kể từ ngày 15 tháng 4 năm 2021),Mua hàng hóa,-,76.443.952.790,,,,76443952790.0
