row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc, thiết bị",Phương tiệnvận tải,Bất động sảnđầu tư khác,Đơn vị tính: VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc, thiết bị",numeric__Phương tiệnvận tải,numeric__Bất động sảnđầu tư khác,numeric__Đơn vị tính: VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,380.100.362.448,73.789.801.262,2.851.715.129,20.740.581.726,477.482.460.565,380100362448.0,73789801262.0,2851715129.0,20740581726.0,477482460565.0
- Tăng trong năm,Nguyên giá: > - Tăng trong năm,- Tăng trong năm,111.002.171.301,1.163.095.640,-,193.984.046,112.359.250.987,111002171301.0,1163095640.0,,193984046.0,112359250987.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,491.102.533.749,74.952.896.902,2.851.715.129,20.934.565.772,589.841.711.552,491102533749.0,74952896902.0,2851715129.0,20934565772.0,589841711552.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,16.833.817.331,9.285.029.731,691.490.132,2.923.438.997,29.733.776.191,16833817331.0,9285029731.0,691490132.0,2923438997.0,29733776191.0
- Khấu hao trong năm,Giá trị khấu hao lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,20.946.687.985,9.714.703.225,481.231.032,2.617.842.906,33.760.465.148,20946687985.0,9714703225.0,481231032.0,2617842906.0,33760465148.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,37.780.505.316,18.999.732.956,1.172.721.164,5.541.281.903,63.494.241.339,37780505316.0,18999732956.0,1172721164.0,5541281903.0,63494241339.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,363.266.545.117,64.504.771.531,2.160.224.997,17.817.142.729,447.748.684.374,363266545117.0,64504771531.0,2160224997.0,17817142729.0,447748684374.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,453.322.028.433,55.953.163.946,1.678.993.965,15.393.283.869,526.347.470.213,453322028433.0,55953163946.0,1678993965.0,15393283869.0,526347470213.0
