row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,Đơn vị tính: VND,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__Đơn vị tính: VND
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,94.014.058.865,1.675.067.209,95.689.126.074,94014058865.0,1675067209.0,95689126074.0
- Tăng trong năm,Nguyên giá: > - Tăng trong năm,- Tăng trong năm,-,150.600.000,150.600.000,,150600000.0,150600000.0
- Tăng do mua công ty con,Nguyên giá: > - Tăng do mua công ty con,- Tăng do mua công ty con,1.682.687.520,-,1.682.687.520,1682687520.0,,1682687520.0
- Ảnh hưởng chênh lệch tỷ giá do chuyển đổi báo cáo,Nguyên giá: > - Ảnh hưởng chênh lệch tỷ giá do chuyển đổi báo cáo,- Ảnh hưởng chênh lệch tỷ giá do chuyển đổi báo cáo,(21.967.200),-,(21.967.200),-21967200.0,,-21967200.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,95.674.779.185,1.825.667.209,97.500.446.394,95674779185.0,1825667209.0,97500446394.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,15.359.050.515,588.285.003,15.947.335.518,15359050515.0,588285003.0,15947335518.0
- Hao mòn trong năm,Giá trị hao mòn lũy kế: > - Hao mòn trong năm,- Hao mòn trong năm,2.857.844.184,275.167.224,3.133.011.408,2857844184.0,275167224.0,3133011408.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,18.216.894.699,863.452.227,19.080.346.926,18216894699.0,863452227.0,19080346926.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,78.655.008.350,1.086.782.206,79.741.790.556,78655008350.0,1086782206.0,79741790556.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,77.457.884.486,962.214.982,78.420.099.468,77457884486.0,962214982.0,78420099468.0
