row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Năm nay,numeric__Đơn vị tính: VND > Năm nay
"Sản xuất, bán và kinh doanh thương mại hạt nhựa và bao bì","Sản xuất, bán và kinh doanh thương mại hạt nhựa và bao bì","Sản xuất, bán và kinh doanh thương mại hạt nhựa và bao bì",7.250.389.667.096,7250389667096.0
"Kinh doanh nhà xưởng, cho thuê đất và hạ tầng khu công nghiệp","Kinh doanh nhà xưởng, cho thuê đất và hạ tầng khu công nghiệp","Kinh doanh nhà xưởng, cho thuê đất và hạ tầng khu công nghiệp",72.405.381.606,72405381606.0
Dịch vụ vận chuyển,Dịch vụ vận chuyển,Dịch vụ vận chuyển,71.425.051.273,71425051273.0
Khác,Khác,Khác,34.336.915.069,34336915069.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,7.428.557.015.044,7428557015044.0
