row_label_raw,row_label_full,Cổ tức đã công bố trong năm,Đơn vị tính: VND > Năm nay,Đơn vị tính: VND > Năm trước,numeric__Đơn vị tính: VND > Năm nay,numeric__Đơn vị tính: VND > Năm trước
Cổ tức trên cổ phiếu phổ thông,Cổ tức trên cổ phiếu phổ thông,Cổ tức trên cổ phiếu phổ thông,148.379.987.000,211.199.968.000,148379987000.0,211199968000.0
Cổ tức cho năm 2020: VND 500/cổ phiếu,Cổ tức cho năm 2020: VND 500/cổ phiếu,Cổ tức cho năm 2020: VND 500/cổ phiếu,148.379.987.000,105.599.988.000,148379987000.0,105599988000.0
Cổ tức cho năm 2019: VND 500/cổ phiếu,Cổ tức cho năm 2019: VND 500/cổ phiếu,Cổ tức cho năm 2019: VND 500/cổ phiếu,,105.599.980.000,,105599980000.0
Cổ tức cho năm 2019: Trả cổ tức bằng cổ phiếu theo tỷ lệ 100:5,Cổ tức cho năm 2019: Trả cổ tức bằng cổ phiếu theo tỷ lệ 100:5,Cổ tức cho năm 2019: Trả cổ tức bằng cổ phiếu theo tỷ lệ 100:5,,,,
Cổ tức đã trả,Cổ tức đã trả,Cổ tức đã trả,-,-,,
,,,148.379.987.000,105.571.913.000,148379987000.0,105571913000.0
