row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Năm nay,Đơn vị tính: VND > Năm trước,numeric__Đơn vị tính: VND > Năm nay,numeric__Đơn vị tính: VND > Năm trước
Thu nhập khác,Thu nhập khác,Thu nhập khác,Thu nhập khác,Thu nhập khác,,
Thu nhập khác do hủy hợp đồng,Thu nhập khác > Thu nhập khác do hủy hợp đồng,Thu nhập khác do hủy hợp đồng,8.617.829.548,15.725.066.538,8617829548.0,15725066538.0
Lãi từ thanh lý tài sản,Thu nhập khác > Lãi từ thanh lý tài sản,Lãi từ thanh lý tài sản,1.002.976.000,11.443.867.898,1002976000.0,11443867898.0
Thu nhập khác,Thu nhập khác > Thu nhập khác,Thu nhập khác,2.051.609.648,133.659.933,2051609648.0,133659933.0
Thu nhập khác,Thu nhập khác > Thu nhập khác,Thu nhập khác,5.563.243.900,4.147.538.707,5563243900.0,4147538707.0
Chi phí khác,Chi phí khác,Chi phí khác,Chi phí khác,Chi phí khác,,
Ứng hộ quỹ chống dịch Covid-19,Chi phí khác > Ứng hộ quỹ chống dịch Covid-19,Ứng hộ quỹ chống dịch Covid-19,15.851.305.956,7.899.714.407,15851305956.0,7899714407.0
Tiền phạt theo biên bản thanh tra thuế,Chi phí khác > Tiền phạt theo biên bản thanh tra thuế,Tiền phạt theo biên bản thanh tra thuế,14.647.434.091,-,14647434091.0,
Lỗ từ thanh lý công cụ dụng cụ,Chi phí khác > Lỗ từ thanh lý công cụ dụng cụ,Lỗ từ thanh lý công cụ dụng cụ,-,3.821.997.968,,3821997968.0
Chi phí khác,Chi phí khác > Chi phí khác,Chi phí khác,-,2.806.684.323,,2806684323.0
Chi phí khác,Chi phí khác > Chi phí khác,Chi phí khác,1.203.871.865,1.271.032.116,1203871865.0,1271032116.0
LỢI NHUẬN KHÁC THUÀN,Chi phí khác > LỢI NHUẬN KHÁC THUÀN,LỢI NHUẬN KHÁC THUÀN,(7.233.476.408),7.825.352.131,-7233476408.0,7825352131.0
