row_label_raw,row_label_full,col_0,Số đầu năm > Thuyết minh,Số đầu năm > Giá trị đồng thời là số có khả năng trả nợ,Phát sinh trong năm > Tăng do mua công ty con,Phát sinh trong năm > Tăng,Phát sinh trong năm > Giảm,Chênh lệch tỷ giá,Đơn vị tính: VND Số cuối năm > Giá trị đồng thời là số có khả năng trả nợ,numeric__Số đầu năm > Thuyết minh,numeric__Số đầu năm > Giá trị đồng thời là số có khả năng trả nợ,numeric__Phát sinh trong năm > Tăng do mua công ty con,numeric__Phát sinh trong năm > Tăng,numeric__Phát sinh trong năm > Giảm,numeric__Chênh lệch tỷ giá,numeric__Đơn vị tính: VND Số cuối năm > Giá trị đồng thời là số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,,,
Vay ngân hàng,Vay ngắn hạn > Vay ngân hàng,Vay ngân hàng,25.1,2.262.590.119.101,43.050.081.440,7.916.486.682.661,(8.103.633.980.978),1.375.275.904,2.119.868.178.128,251.0,2262590119101.0,43050081440.0,7916486682661.0,-8103633980978.0,1375275904.0,2119868178128.0
Vay ngân hàng dài hạn đến hạn trả,Vay ngắn hạn > Vay ngân hàng dài hạn đến hạn trả,Vay ngân hàng dài hạn đến hạn trả,25.2,184.835.286.900,-,235.948.000.000,(363.879.286.900),-,56.904.000.000,252.0,184835286900.0,,235948000000.0,-363879286900.0,,56904000000.0
Vay đối tượng khác,Vay ngắn hạn > Vay đối tượng khác,Vay đối tượng khác,,-,-,6.408.920.000,-,-,6.408.920.000,,,,6408920000.0,,,6408920000.0
Vay các bên liên quan,Vay ngắn hạn > Vay các bên liên quan,Vay các bên liên quan,,-,-,71.000.000.000,(71.000.000.000),-,-,,,,71000000000.0,-71000000000.0,,
Vay cá nhân,Vay ngắn hạn > Vay cá nhân,Vay cá nhân,,-,-,9.998.927.500,(9.998.927.500),-,-,,,,9998927500.0,-9998927500.0,,
Trái phiếu phát hành đến hạn trả,Vay ngắn hạn > Trái phiếu phát hành đến hạn trả,Trái phiếu phát hành đến hạn trả,,495.933.863.627,-,4.066.136.373,(500.000.000.000),-,-,,495933863627.0,,4066136373.0,-500000000000.0,,
TỔNG CỘNG,Vay ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,,2.943.359.269.628,43.050.081.440,8.243.908.666.534,(9.048.512.195.378),1.375.275.904,2.183.181.098.128,,2943359269628.0,43050081440.0,8243908666534.0,-9048512195378.0,1375275904.0,2183181098128.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,,,
Vay ngân hàng,Vay dài hạn > Vay ngân hàng,Vay ngân hàng,25.2,538.949.608.843,-,472.366.151.007,(442.171.788.104),-,569.143.971.746,252.0,538949608843.0,,472366151007.0,-442171788104.0,,569143971746.0
Vay cá nhân,Vay dài hạn > Vay cá nhân,Vay cá nhân,,36.197.239.000,-,-,(36.197.239.000),-,-,,36197239000.0,,,-36197239000.0,,
Vay đối tượng khác,Vay dài hạn > Vay đối tượng khác,Vay đối tượng khác,,-,1.374.574.000,-,(1.374.574.000),-,-,,,1374574000.0,,-1374574000.0,,
Trái phiếu phát hành,Vay dài hạn > Trái phiếu phát hành,Trái phiếu phát hành,25.3,42.000.000.000,-,573.802.510.450,(8.948.636.364),-,606.853.874.086,253.0,42000000000.0,,573802510450.0,-8948636364.0,,606853874086.0
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,,617.146.847.843,1.374.574.000,1.046.168.661.457,(488.692.237.468),-,1.175.997.845.832,,617146847843.0,1374574000.0,1046168661457.0,-488692237468.0,,1175997845832.0
