row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,Đơn vị tính: VND Số đầu năm > Giá trị,Đơn vị tính: VND Số đầu năm > Số có khả năng trả nợ,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ,numeric__Đơn vị tính: VND Số đầu năm > Giá trị,numeric__Đơn vị tính: VND Số đầu năm > Số có khả năng trả nợ
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
Phải trả người bán,Ngắn hạn > Phải trả người bán,Phải trả người bán,550.554.375.667,550.554.375.667,540.258.279.918,540.258.279.918,550554375667.0,550554375667.0,540258279918.0,540258279918.0
Đối tác doanh nghiệp số 1,Ngắn hạn > Đối tác doanh nghiệp số 1,Đối tác doanh nghiệp số 1,55.751.618.988,55.751.618.988,115.332.703.782,115.332.703.782,55751618988.0,55751618988.0,115332703782.0,115332703782.0
Đối tác doanh nghiệp số 2,Ngắn hạn > Đối tác doanh nghiệp số 2,Đối tác doanh nghiệp số 2,126.623.085.725,126.623.085.725,95.589.734.382,95.589.734.382,126623085725.0,126623085725.0,95589734382.0,95589734382.0
Đối tác doanh nghiệp số 3,Ngắn hạn > Đối tác doanh nghiệp số 3,Đối tác doanh nghiệp số 3,75.875.629.746,75.875.629.746,4.958.039.158,4.958.039.158,75875629746.0,75875629746.0,4958039158.0,4958039158.0
Các đối tượng khác,Ngắn hạn > Các đối tượng khác,Các đối tượng khác,292.304.041.208,292.304.041.208,324.377.802.596,324.377.802.596,292304041208.0,292304041208.0,324377802596.0,324377802596.0
Phải trả các bên liên quan (Thuyết minh số 35),Ngắn hạn > Phải trả các bên liên quan (Thuyết minh số 35),Phải trả các bên liên quan (Thuyết minh số 35),59.280.313.814,59.280.313.814,2.221.236.369,2.221.236.369,59280313814.0,59280313814.0,2221236369.0,2221236369.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,609.834.689.481,609.834.689.481,542.479.516.287,542.479.516.287,609834689481.0,609834689481.0,542479516287.0,542479516287.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,,,
Phải trả người bán khác (*),Dài hạn > Phải trả người bán khác (*),Phải trả người bán khác (*),887.312.160,887.312.160,14.893.278.786,14.893.278.786,887312160.0,887312160.0,14893278786.0,14893278786.0
Phải trả các bên liên quan (Thuyết minh số 35),Dài hạn > Phải trả các bên liên quan (Thuyết minh số 35),Phải trả các bên liên quan (Thuyết minh số 35),-,-,10.360.718.467,10.360.718.467,,,10360718467.0,10360718467.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,887.312.160,887.312.160,25.253.997.253,25.253.997.253,887312160.0,887312160.0,25253997253.0,25253997253.0
