row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Năm nay,Đơn vị tính: VND > Năm trước,numeric__Đơn vị tính: VND > Năm nay,numeric__Đơn vị tính: VND > Năm trước
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,397.868.051.996,318.748.516.546,397868051996.0,318748516546.0
Thuế TNDN theo các thuế suất áp dụng cho Nhóm Công ty,Thuế TNDN theo các thuế suất áp dụng cho Nhóm Công ty,Thuế TNDN theo các thuế suất áp dụng cho Nhóm Công ty,,,,
Thuế suất thuế TNDN 21%,Thuế TNDN theo các thuế suất áp dụng cho Nhóm Công ty > Thuế suất thuế TNDN 21%,Thuế suất thuế TNDN 21%,(6.581.839.529),-,-6581839529.0,
Thuế suất thuế TNDN 20%,Thuế TNDN theo các thuế suất áp dụng cho Nhóm Công ty > Thuế suất thuế TNDN 20%,Thuế suất thuế TNDN 20%,69.597.576.054,37.470.885.418,69597576054.0,37470885418.0
Thuế suất thuế TNDN 17%,Thuế TNDN theo các thuế suất áp dụng cho Nhóm Công ty > Thuế suất thuế TNDN 17%,Thuế suất thuế TNDN 17%,3.518.425.822,629.052.503,3518425822.0,629052503.0
Thuế suất thuế TNDN ưu đãi 10%,Thuế TNDN theo các thuế suất áp dụng cho Nhóm Công ty > Thuế suất thuế TNDN ưu đãi 10%,Thuế suất thuế TNDN ưu đãi 10%,5.482.367.936,11.728.223.213,5482367936.0,11728223213.0
Thuế suất thuế TNDN ưu đãi 5%,Thuế TNDN theo các thuế suất áp dụng cho Nhóm Công ty > Thuế suất thuế TNDN ưu đãi 5%,Thuế suất thuế TNDN ưu đãi 5%,285.098.144,-,285098144.0,
Các khoản điều chỉnh,Các khoản điều chỉnh,Các khoản điều chỉnh,,,,
Chi phí không được khấu trừ thuế,Các khoản điều chỉnh > Chi phí không được khấu trừ thuế,Chi phí không được khấu trừ thuế,7.782.020.766,1.048.478.055,7782020766.0,1048478055.0
Điều chỉnh thuế TNDN theo Nghị định 132,Các khoản điều chỉnh > Điều chỉnh thuế TNDN theo Nghị định 132,Điều chỉnh thuế TNDN theo Nghị định 132,-,(9.901.932.653),,-9901932653.0
Điều chỉnh thuế TNDN năm trước,Các khoản điều chỉnh > Điều chỉnh thuế TNDN năm trước,Điều chỉnh thuế TNDN năm trước,366.338.924,(404.585.393),366338924.0,-404585393.0
Thuế TNDN được miễn giảm theo Nghị định 114/2020/NĐ-CP,Các khoản điều chỉnh > Thuế TNDN được miễn giảm theo Nghị định 114/2020/NĐ-CP,Thuế TNDN được miễn giảm theo Nghị định 114/2020/NĐ-CP,-,(4.365.853.203),,-4365853203.0
Lỗ của các công ty con,Các khoản điều chỉnh > Lỗ của các công ty con,Lỗ của các công ty con,6.581.839.529,1.009.679.951,6581839529.0,1009679951.0
Chi phí lãi vay được trừ từ năm trước chuyển sang,Các khoản điều chỉnh > Chi phí lãi vay được trừ từ năm trước chuyển sang,Chi phí lãi vay được trừ từ năm trước chuyển sang,(2.757.262.752),-,-2757262752.0,
Lỗ năm trước chuyển sang,Các khoản điều chỉnh > Lỗ năm trước chuyển sang,Lỗ năm trước chuyển sang,(3.963.944.280),-,-3963944280.0,
Điều chỉnh hợp nhất không chịu thuế,Các khoản điều chỉnh > Điều chỉnh hợp nhất không chịu thuế,Điều chỉnh hợp nhất không chịu thuế,(6.704.983.081),(2.573.209.507),-6704983081.0,-2573209507.0
Điều chỉnh khác,Các khoản điều chỉnh > Điều chỉnh khác,Điều chỉnh khác,119.390.044,934.967.483,119390044.0,934967483.0
Chi phí thuế TNDN,Các khoản điều chỉnh > Chi phí thuế TNDN,Chi phí thuế TNDN,73.725.027.577,35.575.705.867,73725027577.0,35575705867.0
