row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm_1,Đơn vị tính: VND Số đầu năm,Đơn vị tính: VND Số đầu năm_1,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Đơn vị tính: VND Số đầu năm,numeric__Đơn vị tính: VND Số đầu năm_1
,,,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
Nguyên vật liệu,Nguyên vật liệu,Nguyên vật liệu,284.428.166.215,-,281.183.485.688,-,284428166215.0,,281183485688.0,
Hạ tầng các khu công nghiệp,Hạ tầng các khu công nghiệp,Hạ tầng các khu công nghiệp,15.837.382.659,-,286.153.699.917,-,15837382659.0,,286153699917.0,
Hàng hóa,Hàng hóa,Hàng hóa,374.703.440.615,-,119.782.951.846,(391.978.205),374703440615.0,,119782951846.0,-391978205.0
Hàng mua đang đi đường,Hàng mua đang đi đường,Hàng mua đang đi đường,126.634.539.217,-,83.494.214.027,-,126634539217.0,,83494214027.0,
Thành phẩm,Thành phẩm,Thành phẩm,122.425.580.065,-,118.858.988.827,-,122425580065.0,,118858988827.0,
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",28.288.914.262,-,25.502.849.184,-,28288914262.0,,25502849184.0,
Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,6.259.366.872,-,4.970.734.580,-,6259366872.0,,4970734580.0,
Hàng gửi bán,Hàng gửi bán,Hàng gửi bán,38.807.445.524,-,27.254.433.740,-,38807445524.0,,27254433740.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,997.384.835.429,-,947.201.357.809,(391.978.205),997384835429.0,,947201357809.0,-391978205.0
