row_label_raw,row_label_full,col_0,Việt Nam,Singapore,Mỹ,Loại trừ,Đơn vị tính: VND Tổng cộng,numeric__Việt Nam,numeric__Singapore,numeric__Mỹ,numeric__Loại trừ,numeric__Đơn vị tính: VND Tổng cộng
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,
Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu > Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,10.099.724.456.825,2.128.531.545.041,914.853.862.135,-,13.143.109.864.001,10099724456825.0,2128531545041.0,914853862135.0,,13143109864001.0
Doanh thu thuần từ bán hàng cho các bộ phận,Doanh thu > Doanh thu thuần từ bán hàng cho các bộ phận,Doanh thu thuần từ bán hàng cho các bộ phận,504.971.044.349,344.321.073.154,3.855.818.043,(853.147.935.546),-,504971044349.0,344321073154.0,3855818043.0,-853147935546.0,
Tổng doanh thu thuần,Doanh thu > Tổng doanh thu thuần,Tổng doanh thu thuần,10.604.695.501.174,2.472.852.618.195,918.709.680.178,(853.147.935.546),13.143.109.864.001,10604695501174.0,2472852618195.0,918709680178.0,-853147935546.0,13143109864001.0
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,,,,,
Thu nhập trước thuế theo bộ phận,Kết quả hoạt động kinh doanh > Thu nhập trước thuế theo bộ phận,Thu nhập trước thuế theo bộ phận,387.025.766.868,20.303.994.005,(33.951.739.314),-,373.378.021.559 24.490.030.437,387025766868.0,20303994005.0,-33951739314.0,,
Thu nhập/(chi phí) không phần bổ,Thu nhập/(chi phí) không phần bổ,Thu nhập/(chi phí) không phần bổ,,,,,,,,,,
Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,,,,,
Tài sản bộ phận,Tài sản và công nợ > Tài sản bộ phận,Tài sản bộ phận,6.337.716.806.283,404.063.780.920,320.192.893.152,(425.920.146.830),6.636.053.333.525,6337716806283.0,404063780920.0,320192893152.0,-425920146830.0,6636053333525.0
Tài sản không phân bổ,Tài sản và công nợ > Tài sản không phân bổ,Tài sản không phân bổ,,,,,3.373.473.301.766,,,,,3373473301766.0
Tổng nợ phải trả theo bộ phận,Tài sản và công nợ > Tổng nợ phải trả theo bộ phận,Tổng nợ phải trả theo bộ phận,1.054.871.747.406,425.904.850.467,290.359.509.269,(579.464.359.881),1.191.671.747.261,1054871747406.0,425904850467.0,290359509269.0,-579464359881.0,1191671747261.0
Tổng nợ phải trả không phân bổ,Tài sản và công nợ > Tổng nợ phải trả không phân bổ,Tổng nợ phải trả không phân bổ,,,,,3.363.473.150.980,,,,,3363473150980.0
Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,,,,,
Chi phí mua sắm tài sản cố định và xây dựng cơ bản tăng trong năm,Các thông tin bộ phận khác > Chi phí mua sắm tài sản cố định và xây dựng cơ bản tăng trong năm,Chi phí mua sắm tài sản cố định và xây dựng cơ bản tăng trong năm,688.156.858.963,-,-,-,688.156.858.963,688156858963.0,,,,688156858963.0
Tài sản cố định hữu hình,Các thông tin bộ phận khác > Tài sản cố định hữu hình,Tài sản cố định hữu hình,688.006.258.963,-,-,-,688.006.258.963,688006258963.0,,,,688006258963.0
Tài sản cố định vô hình,Các thông tin bộ phận khác > Tài sản cố định vô hình,Tài sản cố định vô hình,150.600.000,-,-,-,150.600.000,150600000.0,,,,150600000.0
Khẩu hao và hao mòn,Các thông tin bộ phận khác > Khẩu hao và hao mòn,Khẩu hao và hao mòn,314.048.803.207,-,1.886.189.883,-,315.934.993.090,314048803207.0,,1886189883.0,,315934993090.0
