row_label_raw,row_label_full,Đầu tư nắm giữ đến ngày đáo hạn,Số cuối năm > Giá gốc > Đầu tư nắm giữ đến ngày đáo hạn,Số cuối năm > Giá trị ghi sổ > Đầu tư nắm giữ đến ngày đáo hạn,Số cuối năm > Dự phòng > Đầu tư nắm giữ đến ngày đáo hạn,Đơn vị tính: VND > Số đầu năm > Giá gốc > Đầu tư nắm giữ đến ngày đáo hạn,Đơn vị tính: VND > Số đầu năm > Giá trị ghi sổ > Đầu tư nắm giữ đến ngày đáo hạn,Đơn vị tính: VND > Số đầu năm > Dự phòng > Đầu tư nắm giữ đến ngày đáo hạn,numeric__Số cuối năm > Giá gốc > Đầu tư nắm giữ đến ngày đáo hạn,numeric__Số cuối năm > Giá trị ghi sổ > Đầu tư nắm giữ đến ngày đáo hạn,numeric__Số cuối năm > Dự phòng > Đầu tư nắm giữ đến ngày đáo hạn,numeric__Đơn vị tính: VND > Số đầu năm > Giá gốc > Đầu tư nắm giữ đến ngày đáo hạn,numeric__Đơn vị tính: VND > Số đầu năm > Giá trị ghi sổ > Đầu tư nắm giữ đến ngày đáo hạn,numeric__Đơn vị tính: VND > Số đầu năm > Dự phòng > Đầu tư nắm giữ đến ngày đáo hạn
Tiền gửi có kỳ hạn (i),Tiền gửi có kỳ hạn (i),Tiền gửi có kỳ hạn (i),11.156.000.000,11.156.000.000,-,682.600.000.000,682.600.000.000,-,11156000000.0,11156000000.0,,682600000000.0,682600000000.0,
"Phải thu từ giao dịch mua, bán lại trái phiếu (ii)","Phải thu từ giao dịch mua, bán lại trái phiếu (ii)","Phải thu từ giao dịch mua, bán lại trái phiếu (ii)",425.000.000.000,425.000.000.000,-,76.000.000.000,76.000.000.000,-,425000000000.0,425000000000.0,,76000000000.0,76000000000.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,436.156.000.000,436.156.000.000,-,758.600.000.000,758.600.000.000,-,436156000000.0,436156000000.0,,758600000000.0,758600000000.0,
