row_label_raw,row_label_full,Bên liên quan > Phải trả người bán ngắn hạn (Thuyết minh số 20.1),Mối quan hệ Nội dung nghiệp vụ > Phải trả người bán ngắn hạn (Thuyết minh số 20.1),Mối quan hệ Nội dung nghiệp vụ > Phải trả người bán ngắn hạn (Thuyết minh số 20.1)_1,Số cuối năm > Phải trả người bán ngắn hạn (Thuyết minh số 20.1),Đơn vị tính: VND > Số đầu năm > Phải trả người bán ngắn hạn (Thuyết minh số 20.1),numeric__Mối quan hệ Nội dung nghiệp vụ > Phải trả người bán ngắn hạn (Thuyết minh số 20.1),numeric__Mối quan hệ Nội dung nghiệp vụ > Phải trả người bán ngắn hạn (Thuyết minh số 20.1)_1,numeric__Số cuối năm > Phải trả người bán ngắn hạn (Thuyết minh số 20.1),numeric__Đơn vị tính: VND > Số đầu năm > Phải trả người bán ngắn hạn (Thuyết minh số 20.1)
Công ty An Phát Holdings,Công ty An Phát Holdings,Công ty An Phát Holdings,Công ty mẹ Mua hàng hóa,Công ty mẹ Mua hàng hóa,43.199.793.384,-,,,43199793384.0,
Công ty An Cường,Công ty An Cường,Công ty An Cường,Công ty cứng Mua hàng hóa,Công ty cứng Mua hàng hóa,,,,,,
,,,Tập đoàn,Tập đoàn,8.718.190.600,155.945.370,,,8718190600.0,155945370.0
Công ty Cổ phần Nhựa Hà Nội,Công ty An Cường > Công ty Cổ phần Nhựa Hà Nội,Công ty Cổ phần Nhựa Hà Nội,Công ty liên Mua hàng hóa kết,Công ty liên Mua hàng hóa kết,4.690.232.350,-,,,4690232350.0,
Công ty Sunrise,Công ty Sunrise,Công ty Sunrise,Công ty liên Mua hàng hóa kết,Công ty liên Mua hàng hóa kết,,,,,,
Bên liên quan khác,Công ty Sunrise > Bên liên quan khác,Bên liên quan khác,,,2.097.350.480,966.849.999,,,2097350480.0,966849999.0
,,,,,574.747.000,1.098.441.000,,,574747000.0,1098441000.0
,,,,,59.280.313.814,2.221.236.369,,,59280313814.0,2221236369.0
Phải trả người bán dài hạn (Thuyết minh số 20.1),Phải trả người bán dài hạn (Thuyết minh số 20.1),Phải trả người bán dài hạn (Thuyết minh số 20.1),Phải trả người bán dài hạn (Thuyết minh số 20.1),Phải trả người bán dài hạn (Thuyết minh số 20.1),Phải trả người bán dài hạn (Thuyết minh số 20.1),Phải trả người bán dài hạn (Thuyết minh số 20.1),,,,
Công ty Sunrise,Phải trả người bán dài hạn (Thuyết minh số 20.1) > Công ty Sunrise,Công ty Sunrise,Công ty liên Mua hàng hóa kết,Công ty liên Mua hàng hóa kết,-,10.360.718.467,,,,10360718467.0
,,,,,-,10.360.718.467,,,,10360718467.0
Người mua trả tiền trước ngắn hạn (Thuyết minh số 20.2),Người mua trả tiền trước ngắn hạn (Thuyết minh số 20.2),Người mua trả tiền trước ngắn hạn (Thuyết minh số 20.2),Người mua trả tiền trước ngắn hạn (Thuyết minh số 20.2),Người mua trả tiền trước ngắn hạn (Thuyết minh số 20.2),Người mua trả tiền trước ngắn hạn (Thuyết minh số 20.2),Người mua trả tiền trước ngắn hạn (Thuyết minh số 20.2),,,,
Công ty TNHH MTV Cơ khí chính xác và Chế tạo khuôn mẫu Việt Nam,Người mua trả tiền trước ngắn hạn (Thuyết minh số 20.2) > Công ty TNHH MTV Cơ khí chính xác và Chế tạo khuôn mẫu Việt Nam,Công ty TNHH MTV Cơ khí chính xác và Chế tạo khuôn mẫu Việt Nam,Công ty Bán hàng hóa cùng Tập đoàn,Công ty Bán hàng hóa cùng Tập đoàn,-,102.847.814,,,,102847814.0
Bên liên quan khác,Người mua trả tiền trước ngắn hạn (Thuyết minh số 20.2) > Bên liên quan khác,Bên liên quan khác,,,48.996.868,,,,48996868.0,
,,,,,48.996.868,102.847.814,,,48996868.0,102847814.0
Phải trả ngắn hạn khác (Thuyết minh số 24),Phải trả ngắn hạn khác (Thuyết minh số 24),Phải trả ngắn hạn khác (Thuyết minh số 24),Phải trả ngắn hạn khác (Thuyết minh số 24),Phải trả ngắn hạn khác (Thuyết minh số 24),Phải trả ngắn hạn khác (Thuyết minh số 24),Phải trả ngắn hạn khác (Thuyết minh số 24),,,,
Công ty APA,Phải trả ngắn hạn khác (Thuyết minh số 24) > Công ty APA,Công ty APA,Công ty con Phải trả về lãi vay (kể từ ngày 15 tháng 4 năm 2021),Công ty con Phải trả về lãi vay (kể từ ngày 15 tháng 4 năm 2021),-,1.126.137.575,,,,1126137575.0
Công ty An Đông,Phải trả ngắn hạn khác (Thuyết minh số 24) > Công ty An Đông,Công ty An Đông,Công ty liên Đặt cọc thuê nhà kết,Công ty liên Đặt cọc thuê nhà kết,-,1.937.000.000,,,,1937000000.0
Công ty An Trung,Phải trả ngắn hạn khác (Thuyết minh số 24) > Công ty An Trung,Công ty An Trung,Công ty Phải trả về lãi vay cùng Tập đoàn,Công ty Phải trả về lãi vay cùng Tập đoàn,-,54.285.000,,,,54285000.0
,,,,,-,3.117.422.575,,,,3117422575.0
