row_label_raw,row_label_full,col_0,Đơn vị tính: VNDGiá trị hợp lý ghi nhận tại ngày mua,numeric__Đơn vị tính: VNDGiá trị hợp lý ghi nhận tại ngày mua
Tài sản,Tài sản,Tài sản,Tài sản,
Tiền và các khoản tương đương tiền,Tài sản > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,54.784.900.780,54784900780.0
Các khoản phải thu và ứng trước cho nhà cung cấp,Tài sản > Các khoản phải thu và ứng trước cho nhà cung cấp,Các khoản phải thu và ứng trước cho nhà cung cấp,266.059.935.180,266059935180.0
Hàng tồn kho,Tài sản > Hàng tồn kho,Hàng tồn kho,105.251.525.280,105251525280.0
Các tài sản ngắn hạn khác,Tài sản > Các tài sản ngắn hạn khác,Các tài sản ngắn hạn khác,1.156.652.340,1156652340.0
Tài sản cố định hữu hình,Tài sản > Tài sản cố định hữu hình,Tài sản cố định hữu hình,19.443.791.640,19443791640.0
Tài sản cố định vô hình,Tài sản > Tài sản cố định vô hình,Tài sản cố định vô hình,1.682.687.520,1682687520.0
Tài sản dài hạn khác,Tài sản > Tài sản dài hạn khác,Tài sản dài hạn khác,845.204.400,845204400.0
,,,449.224.697.140,449224697140.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,
Nợ và vay,Nợ phải trả > Nợ và vay,Nợ và vay,44.424.655.440,44424655440.0
Phải trả người bán và người mua trả tiền trước,Nợ phải trả > Phải trả người bán và người mua trả tiền trước,Phải trả người bán và người mua trả tiền trước,253.236.707.240,253236707240.0
Phải trả khác,Nợ phải trả > Phải trả khác,Phải trả khác,3.707.039.040,3707039040.0
,,,301.368.401.720,301368401720.0
Tổng tài sản thuần theo giá trị hợp lý,Nợ phải trả > Tổng tài sản thuần theo giá trị hợp lý,Tổng tài sản thuần theo giá trị hợp lý,147.856.295.420,147856295420.0
Cổ đông không kiểm soát,Nợ phải trả > Cổ đông không kiểm soát,Cổ đông không kiểm soát,(1.081.198.861),-1081198861.0
Lợi thế thương mại (Thuyết minh số 19),Nợ phải trả > Lợi thế thương mại (Thuyết minh số 19),Lợi thế thương mại (Thuyết minh số 19),24.819.303.441,24819303441.0
Tổng giá phí hợp nhất kinh doanh đã thanh toán,Nợ phải trả > Tổng giá phí hợp nhất kinh doanh đã thanh toán,Tổng giá phí hợp nhất kinh doanh đã thanh toán,171.594.400.000,171594400000.0
Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,
Tiền thu về từ công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Tiền thu về từ công ty con,Tiền thu về từ công ty con,54.784.900.780,54784900780.0
Tiền chi để mua công ty con (*),Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Tiền chi để mua công ty con (*),Tiền chi để mua công ty con (*),(171.594.400.000),-171594400000.0
Tổng tiền thuần chi cho hợp nhất kinh doanh,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Tổng tiền thuần chi cho hợp nhất kinh doanh,Tổng tiền thuần chi cho hợp nhất kinh doanh,(116.809.499.220),-116809499220.0
