row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Vốn khác của chủ sở hữu VND,Chênh lệch tỷ giá hối đoái VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng VND,numeric__Vốn cổ phần VND,numeric__Vốn khác của chủ sở hữu VND,numeric__Chênh lệch tỷ giá hối đoái VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng VND
Số dư tại ngày 1 tháng 1 năm 2020,Số dư tại ngày 1 tháng 1 năm 2020,Số dư tại ngày 1 tháng 1 năm 2020,4.224.000.000.000,402.839.889.104,(8.452.600.340),116.360.737.618,1.406.517.581.598,48.703.292.916,6.189.968.900.896,4224000000000.0,402839889104.0,-8452600340.0,116360737618.0,1406517581598.0,48703292916.0,6189968900896.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,658.596.008.148,1.746.930.950,660.342.939.098,,,,,658596008148.0,1746930950.0,660342939098.0
Cổ tức (Thuyết minh 22),Cổ tức (Thuyết minh 22),Cổ tức (Thuyết minh 22),-,-,-,-,(1.013.760.000.000),-,(1.013.760.000.000),,,,,-1013760000000.0,,-1013760000000.0
Chuyển nguồn hình thành tài sản cố định,Chuyển nguồn hình thành tài sản cố định,Chuyển nguồn hình thành tài sản cố định,-,46.466.631.354,-,(46.592.611.363),-,125.980.009,-,,46466631354.0,,-46592611363.0,,125980009.0,
Trích lập quỹ đầu tư phát triển,Trích lập quỹ đầu tư phát triển,Trích lập quỹ đầu tư phát triển,-,-,-,335.980.009,(300.000.000),(35.980.009),-,,,,335980009.0,-300000000.0,-35980009.0,
"Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,-,-,(16.225.905.722),(99.461.988),(16.325.367.710),,,,,-16225905722.0,-99461988.0,-16325367710.0
Chênh lệch tỷ giá hối đoái (Thuyết minh 21),Chênh lệch tỷ giá hối đoái (Thuyết minh 21),Chênh lệch tỷ giá hối đoái (Thuyết minh 21),-,-,(20.180.615.729),-,-,-,(20.180.615.729),,,-20180615729.0,,,,-20180615729.0
Số dư tại ngày 1 tháng 1 năm 2021,Số dư tại ngày 1 tháng 1 năm 2021,Số dư tại ngày 1 tháng 1 năm 2021,4.224.000.000.000,449.306.520.458,(28.633.216.069),70.104.106.264,1.034.827.684.024,50.440.761.878,5.800.045.856.555,4224000000000.0,449306520458.0,-28633216069.0,70104106264.0,1034827684024.0,50440761878.0,5800045856555.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,1.367.461.151.012,5.690.505.164,1.373.151.656.176,,,,,1367461151012.0,5690505164.0,1373151656176.0
Cổ tức (Thuyết minh 22),Cổ tức (Thuyết minh 22),Cổ tức (Thuyết minh 22),-,-,-,-,(675.840.000.000),(1.440.000.000),(677.280.000.000),,,,,-675840000000.0,-1440000000.0,-677280000000.0
Chuyển nguồn hình thành tài sản cố định,Chuyển nguồn hình thành tài sản cố định,Chuyển nguồn hình thành tài sản cố định,-,6.560.496.909,-,(6.560.496.909),-,-,-,,6560496909.0,,-6560496909.0,,,
Trích lập quỹ đầu tư phát triển,Trích lập quỹ đầu tư phát triển,Trích lập quỹ đầu tư phát triển,-,-,-,210.000.000,(300.000.000),90.000.000,-,,,,210000000.0,-300000000.0,90000000.0,
"Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,-,-,(17.655.324.950),(110.389.800),(17.765.714.750),,,,,-17655324950.0,-110389800.0,-17765714750.0
Chênh lệch tỷ giá hối đoái (Thuyết minh 21),Chênh lệch tỷ giá hối đoái (Thuyết minh 21),Chênh lệch tỷ giá hối đoái (Thuyết minh 21),-,-,28.633.216.069,-,-,-,28.633.216.069,,,28633216069.0,,,,28633216069.0
Số dư tại ngày 31 tháng 12 năm 2021,Số dư tại ngày 31 tháng 12 năm 2021,Số dư tại ngày 31 tháng 12 năm 2021,4.224.000.000.000,455.867.017.367,-,63.753.609.355,1.708.493.510.086,54.670.877.242,6.506.785.014.050,4224000000000.0,455867017367.0,,63753609355.0,1708493510086.0,54670877242.0,6506785014050.0
