row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,31/12/2021 VND,1/1/2021 VND,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2021 VND,numeric__1/1/2021 VND
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,
Tài sản ngắn hạn\( (100 = 110 + 120 + 130 + 140 + 150) \),TÀI SẢN > Tài sản ngắn hạn\( (100 = 110 + 120 + 130 + 140 + 150) \),Tài sản ngắn hạn\( (100 = 110 + 120 + 130 + 140 + 150) \),100,,2.170.241.001.990,1.494.459.105.437,100.0,,2170241001990.0,1494459105437.0
Tiền và các khoản tương đương tiền,TÀI SẢN > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,110,4,734.363.672.465,144.301.260.966,110.0,4.0,734363672465.0,144301260966.0
Tiền,TÀI SẢN > Tiền,Tiền,111,,10.352.843.765,13.801.260.966,111.0,,10352843765.0,13801260966.0
Các khoản tương đương tiền,TÀI SẢN > Các khoản tương đương tiền,Các khoản tương đương tiền,112,,724.010.828.700,130.500.000.000,112.0,,724010828700.0,130500000000.0
Đầu tư tài chính ngắn hạn,TÀI SẢN > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,120,,805.543.013.699,906.609.863.014,120.0,,805543013699.0,906609863014.0
Đầu tư nằm giữ đến ngày đáo hạn,TÀI SẢN > Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,123,5(a),805.543.013.699,906.609.863.014,123.0,,805543013699.0,906609863014.0
Các khoản phải thu ngắn hạn,TÀI SẢN > Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,130,,599.463.041.941,407.101.224.604,130.0,,599463041941.0,407101224604.0
Phải thu ngắn hạn của khách hàng,TÀI SẢN > Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,131,6,547.444.087.058,319.655.796.608,131.0,6.0,547444087058.0,319655796608.0
Trả trước cho người bán ngắn hạn,TÀI SẢN > Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,132,,3.585.007.005,617.453.789,132.0,,3585007005.0,617453789.0
Phải thu ngắn hạn khác,TÀI SẢN > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,136,7,49.737.204.911,86.827.974.207,136.0,7.0,49737204911.0,86827974207.0
Dự phòng phải thu ngắn hạn khó đòi,TÀI SẢN > Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,137,6,(1.303.257.033),-,137.0,6.0,-1303257033.0,
Hàng tồn kho,TÀI SẢN > Hàng tồn kho,Hàng tồn kho,140,8(a),28.666.796.418,34.701.177.033,140.0,,28666796418.0,34701177033.0
Hàng tồn kho,TÀI SẢN > Hàng tồn kho,Hàng tồn kho,141,,28.666.796.418,34.701.177.033,141.0,,28666796418.0,34701177033.0
Tài sản ngắn hạn khác,TÀI SẢN > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,150,,2.204.477.467,1.745.579.820,150.0,,2204477467.0,1745579820.0
Chi phí trả trước ngắn hạn,TÀI SẢN > Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,151,13(a),2.204.477.467,1.665.330.983,151.0,,2204477467.0,1665330983.0
Thuế và các khoản phải thu Nhà nước,TÀI SẢN > Thuế và các khoản phải thu Nhà nước,Thuế và các khoản phải thu Nhà nước,153,,-,80.248.837,153.0,,,80248837.0
