row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận tải VND,Thiết bị văn phòng VND,Tài sản cố định khác VND,Tổng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận tải VND,numeric__Thiết bị văn phòng VND,numeric__Tài sản cố định khác VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,8.754.868.596.671,5.939.793.461.360,81.042.953.625,52.314.052.538,253.880.507,14.828.272.944.701,8754868596671.0,5939793461360.0,81042953625.0,52314052538.0,253880507.0,14828272944701.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,2.330.320.000,3.200.289.000,669.757.000,-,6.200.366.000,,2330320000.0,3200289000.0,669757000.0,,6200366000.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,561.164.573.655,(34.840.531.736),37.500.000,324.608.984,-,526.686.150.903,561164573655.0,-34840531736.0,37500000.0,324608984.0,,526686150903.0
Điều chỉnh khác,Nguyên giá > Điều chỉnh khác,Điều chỉnh khác,1.906.988,353.571.601,4.864.457,1.004.765,-,361.347.811,1906988.0,353571601.0,4864457.0,1004765.0,,361347811.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,9.316.035.077.314,5.907.636.821.225,84.285.607.082,53.309.423.287,253.880.507,15.361.520.809.415,9316035077314.0,5907636821225.0,84285607082.0,53309423287.0,253880507.0,15361520809415.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,4.940.660.964.397,4.326.533.886.984,53.643.261.509,46.227.831.622,253.880.507,9.367.319.825.019,4940660964397.0,4326533886984.0,53643261509.0,46227831622.0,253880507.0,9367319825019.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,180.119.191.793,162.345.374.322,4.491.433.147,2.957.160.270,-,349.913.159.532,180119191793.0,162345374322.0,4491433147.0,2957160270.0,,349913159532.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,5.120.780.156.190,4.488.879.261.306,58.134.694.656,49.184.991.892,253.880.507,9.717.232.984.551,5120780156190.0,4488879261306.0,58134694656.0,49184991892.0,253880507.0,9717232984551.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,3.814.207.632.274,1.613.259.574.376,27.399.692.116,6.086.220.916,-,5.460.953.119.682,3814207632274.0,1613259574376.0,27399692116.0,6086220916.0,,5460953119682.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,4.195.254.921.124,1.418.757.559.919,26.150.912.426,4.124.431.395,-,5.644.287.824.864,4195254921124.0,1418757559919.0,26150912426.0,4124431395.0,,5644287824864.0
