row_label_raw,row_label_full,col_0,Công cụ và dụng cụ VND,Chi phí trả trước khác VND,Tổng cộng VND,numeric__Công cụ và dụng cụ VND,numeric__Chi phí trả trước khác VND,numeric__Tổng cộng VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,4.113.194.085,4.627.556.015,8.740.750.100,4113194085.0,4627556015.0,8740750100.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,2.885.876.179,336.016.364,3.221.892.543,2885876179.0,336016364.0,3221892543.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(2.849.177.815),(4.585.846.650),(7.435.024.465),-2849177815.0,-4585846650.0,-7435024465.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,4.149.892.449,377.725.729,4.527.618.178,4149892449.0,377725729.0,4527618178.0
