row_label_raw,row_label_full,col_0,1/1/2021VND,Số phải nộptrong nămVND,Số đã nộp/cấn trừtrong nămVND,Chuyển từthuế phải thuVND,31/12/2021VND,numeric__1/1/2021VND,numeric__Số phải nộptrong nămVND,numeric__Số đã nộp/cấn trừtrong nămVND,numeric__Chuyển từthuế phải thuVND,numeric__31/12/2021VND
Thuế,Thuế,Thuế,Thuế,Thuế,Thuế,Thuế,Thuế,,,,,
Thuế giá trị gia tăng,Thuế > Thuế giá trị gia tăng,Thuế giá trị gia tăng,13.923.813.129,247.686.653.007,(223.152.469.542),-,38.457.996.594,13923813129.0,247686653007.0,-223152469542.0,,38457996594.0
Thuế thu nhập doanh nghiệp,Thuế > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,50.872.443.580,276.740.852.125,(191.598.231.022),(80.248.837),135.934.815.846,50872443580.0,276740852125.0,-191598231022.0,-80248837.0,135934815846.0
Thuế thu nhập cá nhân,Thuế > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,1.028.430.502,4.595.868.607,(4.860.752.558),-,763.546.551,1028430502.0,4595868607.0,-4860752558.0,,763546551.0
Thuế tài nguyên,Thuế > Thuế tài nguyên,Thuế tài nguyên,36.498.106.982,282.813.377.853,(264.576.747.986),-,54.734.736.849,36498106982.0,282813377853.0,-264576747986.0,,54734736849.0
Các loại thuế khác,Thuế > Các loại thuế khác,Các loại thuế khác,17.441.580,5.401.567.718,(5.419.009.298),-,-,17441580.0,5401567718.0,-5419009298.0,,
Các khoản phải nộp khác,Các khoản phải nộp khác,Các khoản phải nộp khác,Các khoản phải nộp khác,Các khoản phải nộp khác,Các khoản phải nộp khác,Các khoản phải nộp khác,Các khoản phải nộp khác,,,,,
Phí dịch vụ môi trường rừng,Các khoản phải nộp khác > Phí dịch vụ môi trường rừng,Phí dịch vụ môi trường rừng,22.872.709.692,109.215.438.444,(96.878.661.228),-,35.209.486.908,22872709692.0,109215438444.0,-96878661228.0,,35209486908.0
Phí cấp quyền khai thác tài nguyên nước,Các khoản phải nộp khác > Phí cấp quyền khai thác tài nguyên nước,Phí cấp quyền khai thác tài nguyên nước,7.968.171.667,32.508.275.819,(40.476.447.486),-,-,7968171667.0,32508275819.0,-40476447486.0,,
,,,133.181.117.132,958.962.033.573,(826.962.319.120),(80.248.837),265.100.582.748,133181117132.0,958962033573.0,-826962319120.0,-80248837.0,265100582748.0
