row_label_raw,row_label_full,col_0,Giá gốc và số có khả năng trả nợ,Giá gốc và số có khả năng trả nợ_1,numeric__Giá gốc và số có khả năng trả nợ,numeric__Giá gốc và số có khả năng trả nợ_1
,,,31/12/2021VND,1/1/2021VND,,
Công ty Cổ phần Xây dựng 47,Công ty Cổ phần Xây dựng 47,Công ty Cổ phần Xây dựng 47,21.274.096.825,30.526.962.718,21274096825.0,30526962718.0
Nippon Koei Ltd,Nippon Koei Ltd,Nippon Koei Ltd,12.907.138.995,-,12907138995.0,
Công ty TNHH Nippon Koei Việt Nam International,Công ty TNHH Nippon Koei Việt Nam International,Công ty TNHH Nippon Koei Việt Nam International,9.978.576.385,-,9978576385.0,
Công ty TNHH Cơ điện Minh Anh,Công ty TNHH Cơ điện Minh Anh,Công ty TNHH Cơ điện Minh Anh,6.725.349.968,-,6725349968.0,
Viện Nghiên cứu Cơ khí,Viện Nghiên cứu Cơ khí,Viện Nghiên cứu Cơ khí,681.109.762,681.109.762,681109762.0,681109762.0
GE Power India Limited,GE Power India Limited,GE Power India Limited,445.317.108,4.435.403.723,445317108.0,4435403723.0
Công ty Cổ phần Xây lắp điện 1,Công ty Cổ phần Xây lắp điện 1,Công ty Cổ phần Xây lắp điện 1,-,13.465.270.317,,13465270317.0
Các nhà cung cấp khác,Các nhà cung cấp khác,Các nhà cung cấp khác,13.025.910.807,7.257.112.963,13025910807.0,7257112963.0
,,,65.037.499.850,56.365.859.483,65037499850.0,56365859483.0
