row_label_raw,row_label_full,col_0,Đơn vị tính: VND,Đơn vị tính: VND_1,numeric__Đơn vị tính: VND,numeric__Đơn vị tính: VND_1
,,,Phần mềm (trình bày lại),Phần mềm (trình bày lại),,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,
Ngày 1 tháng 1 năm 2023,Nguyên giá > Ngày 1 tháng 1 năm 2023,Ngày 1 tháng 1 năm 2023,,237.335.021.233,,237335021233.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,,34.200.316.282,,34200316282.0
Mua mới,Nguyên giá > Mua mới,Mua mới,,34.200.316.282,,34200316282.0
Giảm trong năm,Nguyên giá > Giảm trong năm,Giảm trong năm,,(16.789.129.203),,-16789129203.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",,(16.789.129.203),,-16789129203.0
Ngày 31 tháng 12 năm 2023,Nguyên giá > Ngày 31 tháng 12 năm 2023,Ngày 31 tháng 12 năm 2023,,254.746.208.312,,254746208312.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,
Ngày 1 tháng 1 năm 2023,Giá trị hao mòn lũy kế > Ngày 1 tháng 1 năm 2023,Ngày 1 tháng 1 năm 2023,,137.055.116.170,,137055116170.0
Tăng trong năm,Giá trị hao mòn lũy kế > Tăng trong năm,Tăng trong năm,,37.389.085.978,,37389085978.0
Hao mòn trong năm,Giá trị hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,,37.389.085.978,,37389085978.0
Giảm trong năm,Giá trị hao mòn lũy kế > Giảm trong năm,Giảm trong năm,,(16.789.129.203),,-16789129203.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",,(16.789.129.203),,-16789129203.0
Ngày 31 tháng 12 năm 2023,Giá trị hao mòn lũy kế > Ngày 31 tháng 12 năm 2023,Ngày 31 tháng 12 năm 2023,,157.655.072.945,,157655072945.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,
Ngày 1 tháng 1 năm 2023,Giá trị còn lại > Ngày 1 tháng 1 năm 2023,Ngày 1 tháng 1 năm 2023,,100.279.905.063,,100279905063.0
Ngày 31 tháng 12 năm 2023,Giá trị còn lại > Ngày 31 tháng 12 năm 2023,Ngày 31 tháng 12 năm 2023,,97.091.135.367,,97091135367.0
Các thông tin khác về tài sản cố định vô hình:,Các thông tin khác về tài sản cố định vô hình:,Các thông tin khác về tài sản cố định vô hình:,Các thông tin khác về tài sản cố định vô hình:,Các thông tin khác về tài sản cố định vô hình:,,
,,,Số cuối năm,Đơn vị tính: VND,,
,,,Số cuối năm,Số đầu năm,,
Nguyên giá TSCĐ vô hình đã hao mòn hết nhưng vấn còn sử dụng,Các thông tin khác về tài sản cố định vô hình: > Nguyên giá TSCĐ vô hình đã hao mòn hết nhưng vấn còn sử dụng,Nguyên giá TSCĐ vô hình đã hao mòn hết nhưng vấn còn sử dụng,69.117.983.845,77.359.440.836,69117983845.0,77359440836.0
