row_label_raw,row_label_full,Các loại tài sảntái chính,Số cuối năm > Giá mua/Giá gốc,Số cuối năm > Chênh lệch đánh giá > Chênh lệch tăng,Số cuối năm > Chênh lệch đánh giá > Chênh lệch giảm,Số cuối năm > Giá trị đánh giá lại,Số đầu năm > Giá mua/Giá gốc,Số đầu năm > Chênh lệch đánh giá > Chênh lệch tăng,Số đầu năm > Chênh lệch đánh giá > Chênh lệch giảm,Số đầu năm > Giá trị đánh giá lại,numeric__Số cuối năm > Giá mua/Giá gốc,numeric__Số cuối năm > Chênh lệch đánh giá > Chênh lệch tăng,numeric__Số cuối năm > Chênh lệch đánh giá > Chênh lệch giảm,numeric__Số cuối năm > Giá trị đánh giá lại,numeric__Số đầu năm > Giá mua/Giá gốc,numeric__Số đầu năm > Chênh lệch đánh giá > Chênh lệch tăng,numeric__Số đầu năm > Chênh lệch đánh giá > Chênh lệch giảm,numeric__Số đầu năm > Giá trị đánh giá lại
FVTPL,FVTPL,FVTPL,44.176.882.653.760,18.708.722.741,(123.438.201.813),44.072.153.174.688,30.559.903.263.251,2.355.302.367,(69.202.517.526),30.493.056.048.092,44176882653760.0,18708722741.0,-123438201813.0,44072153174688.0,30559903263251.0,2355302367.0,-69202517526.0,30493056048092.0
Cổ phiếu vàchứng khoànniêm yết khác,Cổ phiếu vàchứng khoànniêm yết khác,Cổ phiếu vàchứng khoànniêm yết khác,1.014.775.945.689,3.592.408.983,(11.571.279.866),1.006.797.074.806,545.312.341.560,110.514.308,(40.860.867.828),504.561.988.040,1014775945689.0,3592408983.0,-11571279866.0,1006797074806.0,545312341560.0,110514308.0,-40860867828.0,504561988040.0
Cổ phiếu niêmyết cho hoạtđộng phòngngửa rủi ro củachứng quyền,Cổ phiếu niêmyết cho hoạtđộng phòngngửa rủi ro củachứng quyền,Cổ phiếu niêmyết cho hoạtđộng phòngngửa rủi ro củachứng quyền,493.864.555.823,5.048.744.720,(5.219.064.443),493.694.236.100,32.345.419.551,40.634.964,(752.168.265),31.633.886.250,493864555823.0,5048744720.0,-5219064443.0,493694236100.0,32345419551.0,40634964.0,-752168265.0,31633886250.0
Cổ phiếu vàChứng chỉ Quỳchưa niêm yết,Cổ phiếu vàChứng chỉ Quỳchưa niêm yết,Cổ phiếu vàChứng chỉ Quỳchưa niêm yết,263.186.085.662,7.669.708.296,(19.810.683.145),251.045.110.813,576.830.917.590,2.204.153.095,(19.810.683.145),559.224.387.540,263186085662.0,7669708296.0,-19810683145.0,251045110813.0,576830917590.0,2204153095.0,-19810683145.0,559224387540.0
Trải phiếu niêmyết,Trải phiếu niêmyết,Trải phiếu niêmyết,1.733.873.492.548,2.397.860.742,(86.837.174.359),1.649.434.178.931,792.728.150.972,-,(7.778.798.288),784.949.352.684,1733873492548.0,2397860742.0,-86837174359.0,1649434178931.0,792728150972.0,,-7778798288.0,784949352684.0
Trải phiếu chưaniêm yết,Trải phiếu chưaniêm yết,Trải phiếu chưaniêm yết,10.680.989.784.540,-,-,10.680.989.784.540,12.175.839.946.558,-,-,12.175.839.946.558,10680989784540.0,,,10680989784540.0,12175839946558.0,,,12175839946558.0
Chứng chỉ tiềngửi,Chứng chỉ tiềngửi,Chứng chỉ tiềngửi,29.990.192.789.498,-,-,29.990.192.789.498,16.436.846.487.020,-,-,16.436.846.487.020,29990192789498.0,,,29990192789498.0,16436846487020.0,,,16436846487020.0
AFS,AFS,AFS,420.495.130.906,-,(4.741.291.386),415.753.839.520,389.566.237.912,4.320.734.436,(12.178.716.744),381.708.255.604,420495130906.0,,-4741291386.0,415753839520.0,389566237912.0,4320734436.0,-12178716744.0,381708255604.0
Cổ phiếu niêmyết,Cổ phiếu niêmyết,Cổ phiếu niêmyết,-,-,-,-,125.504.190.922,4.320.734.436,(7.437.425.358),122.387.500.000,,,,,125504190922.0,4320734436.0,-7437425358.0,122387500000.0
Cổ phiếu chưaniêm yết,Cổ phiếu chưaniêm yết,Cổ phiếu chưaniêm yết,383.215.748.440,-,(4.741.291.386),378.474.457.054,241.682.764.524,-,(4.741.291.386),236.941.473.138,383215748440.0,,-4741291386.0,378474457054.0,241682764524.0,,-4741291386.0,236941473138.0
Trải phiếu chưaniêm yết,Trải phiếu chưaniêm yết,Trải phiếu chưaniêm yết,37.279.382.466,-,-,37.279.382.466,22.379.282.466,-,-,22.379.282.466,37279382466.0,,,37279382466.0,22379282466.0,,,22379282466.0
Tổng cộng,Tổng cộng,Tổng cộng,44.597.377.784.666,18.708.722.741,(128.179.493.199),44.487.907.014.208,30.949.469.501.163,6.676.036.803,(81.381.234.270),30.874.764.303.696,44597377784666.0,18708722741.0,-128179493199.0,44487907014208.0,30949469501163.0,6676036803.0,-81381234270.0,30874764303696.0
