row_label_raw,row_label_full,Các khoản đầu tư nắm giữ đến ngày đào hạn > - Trái phiếu nắm giữ đến ngày đào hạn (1),Hình thức sở hữu,Số cuối năm > Tỷ lệ biểu quyết của Công ty,Số cuối năm > Giá trị VND > 2.171.558.577.993,Số đầu năm > Tỷ lệ biểu quyết của Công ty,Số đầu năm > Giá trị VND > 2.156.468.315.100,numeric__Hình thức sở hữu,numeric__Số cuối năm > Tỷ lệ biểu quyết của Công ty,numeric__Số cuối năm > Giá trị VND > 2.171.558.577.993,numeric__Số đầu năm > Tỷ lệ biểu quyết của Công ty,numeric__Số đầu năm > Giá trị VND > 2.156.468.315.100
"Đầu tư vào công ty liên doanh, liên kết (2)","Đầu tư vào công ty liên doanh, liên kết (2)","Đầu tư vào công ty liên doanh, liên kết (2)",,,649.680.042.038,,616.604.962.209,,,649680042038.0,,616604962209.0
- Công ty Cổ phần Tập đoàn PAN (PAN),- Công ty Cổ phần Tập đoàn PAN (PAN),- Công ty Cổ phần Tập đoàn PAN (PAN),Trực tiếp,"12,73%",638.817.506.630,"12,73%",606.243.226.510,,0.1273,638817506630.0,0.1273,606243226510.0
- Quỹ Đầu tư Công Nghệ số và Y Tế Việt Nam (VDHF),- Quỹ Đầu tư Công Nghệ số và Y Tế Việt Nam (VDHF),- Quỹ Đầu tư Công Nghệ số và Y Tế Việt Nam (VDHF),Trực tiếp,"20,00%",10.862.535.408,"20,00%",10.361.735.699,,0.2,10862535408.0,0.2,10361735699.0
Tổng cộng,Tổng cộng,Tổng cộng,,,2.821.238.620.031,,2.773.073.277.309,,,2821238620031.0,,2773073277309.0
