row_label_raw,row_label_full,Công ty liên quan,Giao dịch,Phải thu/(phải trả),Phải thu/(phải trả)_1,Phải thu/(phải trả)_2,Phải thu/(phải trả)_3,Doanh thu/ (chi phí),numeric__Giao dịch,numeric__Phải thu/(phải trả),numeric__Phải thu/(phải trả)_1,numeric__Phải thu/(phải trả)_2,numeric__Phải thu/(phải trả)_3,numeric__Doanh thu/ (chi phí)
Công ty liên quan,Công ty liên quan,Công ty liên quan,Giao dịch,Ngày 01 tháng 01 năm 2023,Tăng trong năm,Giảm trong năm,Ngày 31 tháng 12 năm 2023,Doanh thu/ (chi phí),,,,,,
Quỹ Đầu tư Công nghệ số và Y tế Việt Nam,Công ty liên quan > Quỹ Đầu tư Công nghệ số và Y tế Việt Nam,Quỹ Đầu tư Công nghệ số và Y tế Việt Nam,Gộp vốn theo phương pháp vốn chủ sở hữu,10.361.735.698,500.799.711,-,10.862.535.409,500.799.711,,10361735698.0,500799711.0,,10862535409.0,500799711.0
Quỹ Đầu tư Công nghệ số và Y tế Việt Nam,Công ty liên quan > Quỹ Đầu tư Công nghệ số và Y tế Việt Nam,Quỹ Đầu tư Công nghệ số và Y tế Việt Nam,Phí quản lý quỹ,260.666.574,1.065.764.384,(1.052.789.090),273.641.868,1.065.764.384,,260666574.0,1065764384.0,-1052789090.0,273641868.0,1065764384.0
Quỹ Đầu tư Công nghệ số và Y tế Việt Nam,Công ty liên quan > Quỹ Đầu tư Công nghệ số và Y tế Việt Nam,Quỹ Đầu tư Công nghệ số và Y tế Việt Nam,Giao dịch mua chứng chỉ tiền gửi,-,(50.150.712.825),50.150.712.825,-,-,,,-50150712825.0,50150712825.0,,
Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty liên quan > Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,"Giao dịch bán chứng khoán, chứng chỉ tiền gửi",-,20.205.008.929.153,(20.205.008.929.153),-,36.934.453.751,,,20205008929153.0,-20205008929153.0,,36934453751.0
Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty liên quan > Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Doanh thu hợp đồng tư vấn,1.228.128.000,2.350.000.000,(3.578.128.000),-,2.297.000.000,,1228128000.0,2350000000.0,-3578128000.0,,2297000000.0
Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty liên quan > Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Nhân hợp đồng quản lý tiền gửi và khác,(832.796.067.848),(4.136.109.825.667),4.703.218.277.998,(265.687.615.517),-,,-832796067848.0,-4136109825667.0,4703218277998.0,-265687615517.0,
Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty liên quan > Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Lãi hợp đồng quản lý tiền gửi phải trả và khác,(1.525.934.400),(44.417.915.883),41.932.185.468,(4.011.664.815),(44.417.915.883),,-1525934400.0,-44417915883.0,41932185468.0,-4011664815.0,-44417915883.0
Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty liên quan > Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Ứng trước hợp đồng tư vấn,(200.000.000),-,100.000.000,(100.000.000),-,,-200000000.0,,100000000.0,-100000000.0,
Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty liên quan > Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Chi phí mua hàng hóa dịch vụ,-,(99.369.746),99.088.152,(281.594),(99.369.746),,,-99369746.0,99088152.0,-281594.0,-99369746.0
Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty liên quan > Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,"Giao dịch mua chứng khoán, chứng chỉ tiền gửi",-,(15.669.932.289.759),15.669.932.289.759,-,-,,,-15669932289759.0,15669932289759.0,,
Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty liên quan > Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Gộp vốn theo phương pháp vốn chủ sở hữu,571.771.109.338,32.574.280.119,-,604.345.389.457,32.574.280.119,,571771109338.0,32574280119.0,,604345389457.0,32574280119.0
