row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VNDNăm trước,numeric__Năm nay,numeric__Đơn vị tính: VNDNăm trước
Chi phí môi giới chứng khoán,Chi phí môi giới chứng khoán,Chi phí môi giới chứng khoán,300.518.833.589,344.101.936.315,300518833589.0,344101936315.0
Chi phí hoạt động lưu kỳ,Chi phí hoạt động lưu kỳ,Chi phí hoạt động lưu kỳ,41.922.402.416,41.971.968.707,41922402416.0,41971968707.0
Chi phí lương và các khoản khác theo lương,Chi phí lương và các khoản khác theo lương,Chi phí lương và các khoản khác theo lương,774.667.313.034,764.546.096.114,774667313034.0,764546096114.0
"Chi phí BHXH, BHYT, KPCĐ, BHTN","Chi phí BHXH, BHYT, KPCĐ, BHTN","Chi phí BHXH, BHYT, KPCĐ, BHTN",46.973.933.323,38.840.843.250,46973933323.0,38840843250.0
Chi phí vật tư văn phòng,Chi phí vật tư văn phòng,Chi phí vật tư văn phòng,1.287.634.906,1.306.518.241,1287634906.0,1306518241.0
"Chi phí công cụ, dụng cụ","Chi phí công cụ, dụng cụ","Chi phí công cụ, dụng cụ",6.710.448.319,11.312.372.975,6710448319.0,11312372975.0
"Chi phí khấu hao TSCĐ, BĐSĐT","Chi phí khấu hao TSCĐ, BĐSĐT","Chi phí khấu hao TSCĐ, BĐSĐT",64.476.643.518,57.004.559.636,64476643518.0,57004559636.0
Chi phí dự phòng,Chi phí dự phòng,Chi phí dự phòng,-,75.000.000,,75000000.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,361.851.331.398,331.081.122.989,361851331398.0,331081122989.0
Chi phí về vốn,Chi phí về vốn,Chi phí về vốn,58.131.534.006,72.720.002.130,58131534006.0,72720002130.0
Chi phí khác,Chi phí khác,Chi phí khác,63.973.224.245,31.494.093.395,63973224245.0,31494093395.0
Tổng cộng,Tổng cộng,Tổng cộng,1.720.513.298.754,1.694.454.513.752,1720513298754.0,1694454513752.0
