row_label_raw,row_label_full,col_0,Máy móc thiết bị,Phương tiện vận tải,Thiết bị văn phòng,Đơn vị tính: VND Tổng công,numeric__Máy móc thiết bị,numeric__Phương tiện vận tải,numeric__Thiết bị văn phòng,numeric__Đơn vị tính: VND Tổng công
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Ngày 1 tháng 1 năm 2023,Nguyên giá > Ngày 1 tháng 1 năm 2023,Ngày 1 tháng 1 năm 2023,331.031.538.749,29.714.005.982,4.465.183.752,365.210.728.483,331031538749.0,29714005982.0,4465183752.0,365210728483.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,37.762.092.015,12.013.480.000,45.650.000,49.821.222.015,37762092015.0,12013480000.0,45650000.0,49821222015.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,37.762.092.015,12.013.480.000,45.650.000,49.821.222.015,37762092015.0,12013480000.0,45650000.0,49821222015.0
Giảm trong năm,Nguyên giá > Giảm trong năm,Giảm trong năm,(3.544.860.903),(2.139.852.400),(386.384.150),(6.071.097.453),-3544860903.0,-2139852400.0,-386384150.0,-6071097453.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(3.544.860.903),(2.139.852.400),(386.384.150),(6.071.097.453),-3544860903.0,-2139852400.0,-386384150.0,-6071097453.0
Ngày 31 tháng 12 năm 2023,Nguyên giá > Ngày 31 tháng 12 năm 2023,Ngày 31 tháng 12 năm 2023,365.248.769.861,39.587.633.582,4.124.449.602,408.960.853.045,365248769861.0,39587633582.0,4124449602.0,408960853045.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Ngày 1 tháng 1 năm 2023,Giá trị hao mòn lũy kế > Ngày 1 tháng 1 năm 2023,Ngày 1 tháng 1 năm 2023,166.268.425.311,14.160.955.798,3.130.655.962,183.560.037.071,166268425311.0,14160955798.0,3130655962.0,183560037071.0
Tăng trong năm,Giá trị hao mòn lũy kế > Tăng trong năm,Tăng trong năm,55.029.329.798,3.414.101.926,486.282.883,58.929.714.607,55029329798.0,3414101926.0,486282883.0,58929714607.0
Hao mòn trong năm,Giá trị hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,55.029.329.798,3.414.101.926,486.282.883,58.929.714.607,55029329798.0,3414101926.0,486282883.0,58929714607.0
Giảm trong năm,Giá trị hao mòn lũy kế > Giảm trong năm,Giảm trong năm,(3.516.756.179),(2.139.852.400),(257.667.524),(5.914.276.103),-3516756179.0,-2139852400.0,-257667524.0,-5914276103.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(3.516.756.179),(2.139.852.400),(257.667.524),(5.914.276.103),-3516756179.0,-2139852400.0,-257667524.0,-5914276103.0
Ngày 31 tháng 12 năm 2023,Giá trị hao mòn lũy kế > Ngày 31 tháng 12 năm 2023,Ngày 31 tháng 12 năm 2023,217.780.998.930,15.435.205.324,3.359.271.321,236.575.475.575,217780998930.0,15435205324.0,3359271321.0,236575475575.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Ngày 1 tháng 1 năm 2023,Giá trị còn lại > Ngày 1 tháng 1 năm 2023,Ngày 1 tháng 1 năm 2023,164.763.113.438,15.553.050.184,1.334.527.790,181.650.691.412,164763113438.0,15553050184.0,1334527790.0,181650691412.0
Ngày 31 tháng 12 năm 2023,Giá trị còn lại > Ngày 31 tháng 12 năm 2023,Ngày 31 tháng 12 năm 2023,147.467.770.931,24.152.428.258,765.178.281,172.385.377.470,147467770931.0,24152428258.0,765178281.0,172385377470.0
