row_label_raw,row_label_full,Năm 2022,Môi giới và dịch vụ khách hàng > Năm 2022,Tự doanh > Năm 2022,Kinh doanh nguồn vốn > Năm 2022,Quản lý danh mục > Năm 2022,Ngắn hàng đầu tư và các bộ phận khác > Năm 2022,Đơn vị tính: VND Tống cộng > Năm 2022,numeric__Môi giới và dịch vụ khách hàng > Năm 2022,numeric__Tự doanh > Năm 2022,numeric__Kinh doanh nguồn vốn > Năm 2022,numeric__Quản lý danh mục > Năm 2022,numeric__Ngắn hàng đầu tư và các bộ phận khác > Năm 2022,numeric__Đơn vị tính: VND Tống cộng > Năm 2022
1. Doanh thu thuần hoạt động kinh doanh chứng khoán,1. Doanh thu thuần hoạt động kinh doanh chứng khoán,1. Doanh thu thuần hoạt động kinh doanh chứng khoán,3.564.487.585.589,2.069.341.948.380,634.691.449.893,164.950.867.701,94.300.002.428,6.527.771.853.991,3564487585589.0,2069341948380.0,634691449893.0,164950867701.0,94300002428.0,6527771853991.0
2. Các chi phí trực tiếp,2. Các chi phí trực tiếp,2. Các chi phí trực tiếp,2.003.411.680.512,1.488.755.881.775,465.184.478.096,69.760.162.102,94.566.839.402,4.121.679.041.887,2003411680512.0,1488755881775.0,465184478096.0,69760162102.0,94566839402.0,4121679041887.0
3. Khấu hao và các chi phí phân bổ,3. Khấu hao và các chi phí phân bổ,3. Khấu hao và các chi phí phân bổ,210.436.488.431,29.342.552.612,18.613.255.597,13.752.469.103,24.244.654.584,296.389.420.327,210436488431.0,29342552612.0,18613255597.0,13752469103.0,24244654584.0,296389420327.0
Lợi nhuận từ hoạt động kinh doanh trước thuế,Lợi nhuận từ hoạt động kinh doanh trước thuế,Lợi nhuận từ hoạt động kinh doanh trước thuế,1.350.639.416.646,551.243.513.993,150.893.716.200,81.438.236.496,(24.511.491.558),2.109.703.391.777,1350639416646.0,551243513993.0,150893716200.0,81438236496.0,-24511491558.0,2109703391777.0
Số dư tại ngày 31 tháng 12 năm 2022,Số dư tại ngày 31 tháng 12 năm 2022,Số dư tại ngày 31 tháng 12 năm 2022,Số dư tại ngày 31 tháng 12 năm 2022,Số dư tại ngày 31 tháng 12 năm 2022,Số dư tại ngày 31 tháng 12 năm 2022,Số dư tại ngày 31 tháng 12 năm 2022,Số dư tại ngày 31 tháng 12 năm 2022,Số dư tại ngày 31 tháng 12 năm 2022,,,,,,
1. Tài sản bộ phận,Số dư tại ngày 31 tháng 12 năm 2022 > 1. Tài sản bộ phận,1. Tài sản bộ phận,11.088.129.508.153,33.335.022.241.333,6.163.910.276.328,101.475.639.177,202.401.748.502,50.890.939.413.493,11088129508153.0,33335022241333.0,6163910276328.0,101475639177.0,202401748502.0,50890939413493.0
2. Tài sản phân bổ,Số dư tại ngày 31 tháng 12 năm 2022 > 2. Tài sản phân bổ,2. Tài sản phân bổ,351.005.715.305,48.943.050.444,31.046.702.706,22.938.965.057,40.439.813.397,494.374.246.909,351005715305.0,48943050444.0,31046702706.0,22938965057.0,40439813397.0,494374246909.0
3. Tài sản không phân bổ,Số dư tại ngày 31 tháng 12 năm 2022 > 3. Tài sản không phân bổ,3. Tài sản không phân bổ,-,-,-,-,-,841.069.226.079,,,,,,841069226079.0
Tổng tài sản,Số dư tại ngày 31 tháng 12 năm 2022 > Tổng tài sản,Tổng tài sản,11.439.135.223.458,33.383.965.291.777,6.194.956.979.034,124.414.604.234,242.841.561.899,52.226.382.886.481,11439135223458.0,33383965291777.0,6194956979034.0,124414604234.0,242841561899.0,52226382886481.0
4. Nợ phải trả bộ phận,Số dư tại ngày 31 tháng 12 năm 2022 > 4. Nợ phải trả bộ phận,4. Nợ phải trả bộ phận,9.815.150.558.266,16.585.113.281.252,2.770.836.107.110,74.714.649.437,8.702.763.275,29.254.517.359.340,9815150558266.0,16585113281252.0,2770836107110.0,74714649437.0,8702763275.0,29254517359340.0
5. Nợ phân bổ,Số dư tại ngày 31 tháng 12 năm 2022 > 5. Nợ phân bổ,5. Nợ phân bổ,309.743.310.715,43.189.560.226,27.397.013.962,20.242.379.742,35.685.919.460,436.258.184.105,309743310715.0,43189560226.0,27397013962.0,20242379742.0,35685919460.0,436258184105.0
6. Nợ không phân bổ,Số dư tại ngày 31 tháng 12 năm 2022 > 6. Nợ không phân bổ,6. Nợ không phân bổ,-,-,-,-,-,151.725.378.376,,,,,,151725378376.0
Tổng công nợ,Số dư tại ngày 31 tháng 12 năm 2022 > Tổng công nợ,Tổng công nợ,10.124.893.868.981,16.628.302.841.478,2.798.233.121.072,94.957.029.179,44.388.682.735,29.842.500.921.821,10124893868981.0,16628302841478.0,2798233121072.0,94957029179.0,44388682735.0,29842500921821.0
