row_label_raw,row_label_full,Trích lập/(hoàn nhập) dự phòng suy giảm giá trị các khoản cho vay,Năm nay > 8.537.006,Đơn vị tính: VNDNăm trước > (621.440.964),numeric__Năm nay > 8.537.006,numeric__Đơn vị tính: VNDNăm trước > (621.440.964)
Hoàn nhập dự phòng phải thu tiền bán chứng khoán khó đòi,Hoàn nhập dự phòng phải thu tiền bán chứng khoán khó đòi,Hoàn nhập dự phòng phải thu tiền bán chứng khoán khó đòi,-,(1.242.906.276),,-1242906276.0
Tổng cộng,Tổng cộng,Tổng cộng,8.537.006,(1.864.347.240),8537006.0,-1864347240.0
