row_label_raw,row_label_full,STT,Danh mục các khoản đầu tư,Số lượng bản Đơn vị,Tổng giá trị bán VND,Giá vốn bình quân gia quyền tính đến cuối ngày giao dịch VND,Lãi/(lỗ) bán chứng khoán năm nay VND,Lãi/(lỗ) bán chứng khoán năm trước VND,numeric__Danh mục các khoản đầu tư,numeric__Số lượng bản Đơn vị,numeric__Tổng giá trị bán VND,numeric__Giá vốn bình quân gia quyền tính đến cuối ngày giao dịch VND,numeric__Lãi/(lỗ) bán chứng khoán năm nay VND,numeric__Lãi/(lỗ) bán chứng khoán năm trước VND
I,I,I,LÃI BÁN,,,,,,,,,,,
1,I > 1,1,Cổ phiếu và chứng khoán niêm yết (bao gồm cổ phiếu phòng ngừa rủi ro cho chứng quyền),196.608.319,4.815.925.590.607,4.676.959.739.374,138.965.851.233,174.083.236.700,,196608319.0,4815925590607.0,4676959739374.0,138965851233.0,174083236700.0
2,I > 2,2,Cổ phiếu và chứng chỉ quỹ (CCQ) chưa niêm yết,35.328.977,470.867.213.896,438.897.375.243,31.969.838.653,616.352.523,,35328977.0,470867213896.0,438897375243.0,31969838653.0,616352523.0
3,I > 3,3,Trái phiếu niêm yết,126.820.894,13.460.863.883.368,13.402.450.267.517,58.413.615.851,17.510.957.561,,126820894.0,13460863883368.0,13402450267517.0,58413615851.0,17510957561.0
4,I > 4,4,"Trái phiếu và chứng khoán chưa niêm yết, CCTG",70.198.947,196.427.592.001.620,195.850.008.578.476,577.583.423.144,332.829.046.789,,70198947.0,196427592001620.0,195850008578476.0,577583423144.0,332829046789.0
5,I > 5,5,Lãi vị thế của hợp đồng CKPS,-,-,-,92.862.868.000,180.882.827.000,,,,,92862868000.0,180882827000.0
6,I > 6,6,Lãi chứng quyền do Công ty phát hành,1.131.534.195,517.276.382.545,329.404.228.300,187.872.154.245,281.341.643.477,,1131534195.0,517276382545.0,329404228300.0,187872154245.0,281341643477.0
,,,Tổng cộng,1.560.491.332,215.692.525.072.036,214.697.720.188.910,1.087.667.751.126,987.264.064.050,,1560491332.0,215692525072036.0,214697720188910.0,1087667751126.0,987264064050.0
II,II,II,Lỗ BÁN,,,,,,,,,,,
1,II > 1,1,Cổ phiếu và chứng khoán niêm yết (bao gồm cổ phiếu phòng ngừa rủi ro cho chứng quyền),166.391.138,4.301.355.862.471,4.514.843.525.422,(213.487.662.951),(332.549.089.770),,166391138.0,4301355862471.0,4514843525422.0,-213487662951.0,-332549089770.0
2,II > 2,2,Cổ phiếu chưa niêm yết,300.000,5.100.000.000,5.250.090.000,(150.090.000),(153.671),,300000.0,5100000000.0,5250090000.0,-150090000.0,-153671.0
3,II > 3,3,Trái phiếu niêm yết,58.314.103,6.439.364.466.348,6.452.625.723.922,(13.261.257.574),(6.092.692.705),,58314103.0,6439364466348.0,6452625723922.0,-13261257574.0,-6092692705.0
4,II > 4,4,"Trái phiếu và chứng khoán chưa niêm yết, CCTG",17.403.310,11.510.300.076.121,11.564.673.056.332,(54.372.980.211),(43.978.771.189),,17403310.0,11510300076121.0,11564673056332.0,-54372980211.0,-43978771189.0
5,II > 5,5,Lỗ vị thế của hợp đồng CKPS,-,-,-,(76.646.216.000),(121.267.354.000),,,,,-76646216000.0,-121267354000.0
6,II > 6,6,Lỗ chứng quyền do Công ty phát hành,408.185.605,295.011.186.789,319.432.923.250,(24.421.736.461),(25.741.921.875),,408185605.0,295011186789.0,319432923250.0,-24421736461.0,-25741921875.0
,,,Tổng cộng,650.594.156,22.551.131.591.729,22.856.825.318.926,(382.339.943.197),(529.629.983.210),,650594156.0,22551131591729.0,22856825318926.0,-382339943197.0,-529629983210.0
