row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: Cổ phiếu Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: Cổ phiếu Số đầu năm
Số lượng cổ phiếu được phép phát hành,Số lượng cổ phiếu được phép phát hành,Số lượng cổ phiếu được phép phát hành,1.501.130.137,1.491.130.137,1501130137.0,1491130137.0
Số lượng cổ phiếu đã phát hành,Số lượng cổ phiếu đã phát hành,Số lượng cổ phiếu đã phát hành,1.501.130.137,1.491.130.137,1501130137.0,1491130137.0
Số lượng cổ phiếu đã phát hành và được góp vốn đầy đủ,Số lượng cổ phiếu đã phát hành và được góp vốn đầy đủ,Số lượng cổ phiếu đã phát hành và được góp vốn đầy đủ,1.501.130.137,1.491.130.137,1501130137.0,1491130137.0
- Cổ phiếu phổ thông,- Cổ phiếu phổ thông,- Cổ phiếu phổ thông,1.501.130.137,1.491.130.137,1501130137.0,1491130137.0
- Cổ phiếu ưu đãi,- Cổ phiếu ưu đãi,- Cổ phiếu ưu đãi,-,-,,
Số lượng cổ phiếu quỹ,- Cổ phiếu ưu đãi > Số lượng cổ phiếu quỹ,Số lượng cổ phiếu quỹ,(1.991.468),(1.991.468),-1991468.0,-1991468.0
Cổ phiếu quỹ do Công ty nằm giữ,- Cổ phiếu ưu đãi > Cổ phiếu quỹ do Công ty nằm giữ,Cổ phiếu quỹ do Công ty nằm giữ,(1.991.468),(1.991.468),-1991468.0,-1991468.0
- Cổ phiếu phổ thông,- Cổ phiếu ưu đãi > - Cổ phiếu phổ thông,- Cổ phiếu phổ thông,(1.991.468),(1.991.468),-1991468.0,-1991468.0
- Cổ phiếu ưu đãi,- Cổ phiếu ưu đãi,- Cổ phiếu ưu đãi,-,-,,
Số lượng cổ phiếu đang lưu hành,- Cổ phiếu ưu đãi > Số lượng cổ phiếu đang lưu hành,Số lượng cổ phiếu đang lưu hành,1.499.138.669,1.489.138.669,1499138669.0,1489138669.0
- Cổ phiếu phổ thông,- Cổ phiếu ưu đãi > - Cổ phiếu phổ thông,- Cổ phiếu phổ thông,1.499.138.669,1.489.138.669,1499138669.0,1489138669.0
- Cổ phiếu ưu đãi,- Cổ phiếu ưu đãi,- Cổ phiếu ưu đãi,-,-,,
