row_label_raw,row_label_full,Mã số,CHÍ TIÊU,Thuyết minh,Năm nay,Năm trước (trình bày lại),numeric__CHÍ TIÊU,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước (trình bày lại)
,,,III. DOANH THU HOẠT ĐỘNG TÀI CHÍNH,,,,,,,
41,41,41,1. Chênh lệch lãi tỷ giá hối đoái đã và chưa thực hiện,,8.171.970.366,28.287.326.467,,,8171970366.0,28287326467.0
42,42,42,"2. Doanh thu, dự thu cổ tức, lãi tiền gửi không cổ định",,27.414.204.319,35.855.039.392,,,27414204319.0,35855039392.0
43,43,43,"3. Lãi bán, thanh lý các khoản đầu tư vào công ty con, công ty liên kết",,-,1.377.269.827,,,,1377269827.0
44,44,44,4. Doanh thu khác về đầu tư,,87.717.734.435,115.173.358.127,,,87717734435.0,115173358127.0
50,50,50,Cộng doanh thu hoạt động tài chính,36,123.303.909.120,180.692.993.813,,36.0,123303909120.0,180692993813.0
,,,IV. CHI PHÍ TÀI CHÍNH,,,,,,,
51,51,51,1. Chênh lệch lỗ tỷ giá hối đoái đã và chưa thực hiện,,25.495.038.750,123.981.791.060,,,25495038750.0,123981791060.0
52,52,52,2. Chi phí lãi vay,,1.570.439.043.267,1.030.649.945.603,,,1570439043267.0,1030649945603.0
55,55,55,3. Chi phí tài chính khác,,41.713.608.024,261.003.468.575,,,41713608024.0,261003468575.0
60,60,60,Cộng chi phí tài chính,37,1.637.647.690.041,1.415.635.205.238,,37.0,1637647690041.0,1415635205238.0
62,62,62,VI. CHI PHÍ QUẢN LÝ,38,361.707.269.173,296.389.420.325,,38.0,361707269173.0,296389420325.0
70,70,70,VII. KẾT QUẢ HOẠT ĐỘNG,,2.847.076.233.587,2.099.656.023.125,,,2847076233587.0,2099656023125.0
,,,VIII. THU NHẬP KHÁC VÀ CHI PHÍ KHÁC,,,,,,,
71,71,71,Thu nhập khác,,2.414.205.998,11.255.802.218,,,2414205998.0,11255802218.0
72,72,72,Chi phí khác,,923.469.392,1.208.433.566,,,923469392.0,1208433566.0
80,80,80,Cộng kết quả hoạt động khác,39,1.490.736.606,10.047.368.652,,39.0,1490736606.0,10047368652.0
90,90,90,IX. TỔNG LỢI NHUẬN KẾ TOÁN TRƯỚC THUẾ,,2.848.566.970.193,2.109.703.391.777,,,2848566970193.0,2109703391777.0
91,91,91,Lợi nhuận đã thực hiện,,2.779.261.044.973,2.408.623.128.553,,,2779261044973.0,2408623128553.0
92,92,92,Lợi nhuận chưa thực hiện,,69.305.925.220,(298.919.736.776),,,69305925220.0,-298919736776.0
100,100,100,X. CHI PHÍ THUẾ THU NHẬP DOANH NGHIỆP (TNDN),40,554.094.148.635,412.010.222.978,,40.0,554094148635.0,412010222978.0
100.1,100.1,100.1,Chi phí thuế TNDN hiện hành,40.1,543.354.773.079,458.919.223.108,,401.0,543354773079.0,458919223108.0
100.2,100.2,100.2,Chi phí/(thu nhập) thuế TNDN hoãn lại,40.2,10.739.375.556,(46.909.000.130),,402.0,10739375556.0,-46909000130.0
200,200,200,XI. LỢI NHUẬN KẾ TOÁN SAU THUẾ TNDN,,2.294.472.821.558,1.697.693.168.799,,,2294472821558.0,1697693168799.0
201,201,201,1. Lợi nhuận sau thuế phân bổ cho chủ sở hữu,,2.292.781.385.416,1.699.319.896.223,,,2292781385416.0,1699319896223.0
202,202,202,2. Lợi nhuận sau thuế trích các Quỹ,,-,50.979.596.887,,,,50979596887.0
203,203,203,3. Lợi nhuận thuần phân bổ cho lợi ích của cổ đông không kiểm soát,,1.691.436.142,(1.626.727.424),,,1691436142.0,-1626727424.0
