row_label_raw,row_label_full,STT,Danh mục các loại tài sản tài chính,Giá trị mua theo số kế toán,Giá trị hợp lý,Số dư chênh lệch đánh giả lại cuối năm,Số dư chênh lệch đánh giả lại đầu năm,Đơn vị tính: VNDChênh lệch thuần điều chỉnh số kế toán trong năm,numeric__Danh mục các loại tài sản tài chính,numeric__Giá trị mua theo số kế toán,numeric__Giá trị hợp lý,numeric__Số dư chênh lệch đánh giả lại cuối năm,numeric__Số dư chênh lệch đánh giả lại đầu năm,numeric__Đơn vị tính: VNDChênh lệch thuần điều chỉnh số kế toán trong năm
II,II,II,Loại AFS,420.495.130.906,415.753.839.520,(4.741.291.386),(7.857.982.308),3.116.690.922,,420495130906.0,415753839520.0,-4741291386.0,-7857982308.0,3116690922.0
1,1,1,Cổ phiếu niêm yết,-,-,-,(3.116.690.922),3.116.690.922,,,,,-3116690922.0,3116690922.0
2,2,2,Cổ phiếu chưa niêm yết,383.215.748.440,378.474.457.054,(4.741.291.386),(4.741.291.386),-,,383215748440.0,378474457054.0,-4741291386.0,-4741291386.0,
3,3,3,Trái phiếu chưa niêm yết,37.279.382.466,37.279.382.466,-,-,-,,37279382466.0,37279382466.0,,,
,,,Tổng cộng,44.597.377.784.666,44.487.907.014.208,(109.470.770.458),(74.705.197.467),(34.765.572.991),,44597377784666.0,44487907014208.0,-109470770458.0,-74705197467.0,-34765572991.0
