row_label_raw,row_label_full,Năm 2023,Môi giới và dịch vụ khách hàng > Năm 2023,Tự doanh > Năm 2023,Kinh doanh nguồn vốn > Năm 2023,Quản lý danh mục > Năm 2023,Ngân hàng đầu tư và các bộ phận khác > Năm 2023,Đơn vị tính: VND Tổng cộng > Năm 2023,numeric__Môi giới và dịch vụ khách hàng > Năm 2023,numeric__Tự doanh > Năm 2023,numeric__Kinh doanh nguồn vốn > Năm 2023,numeric__Quản lý danh mục > Năm 2023,numeric__Ngân hàng đầu tư và các bộ phận khác > Năm 2023,numeric__Đơn vị tính: VND Tổng cộng > Năm 2023
1. Doanh thu thuần hoạt động kinh doanh chứng khoán (1),1. Doanh thu thuần hoạt động kinh doanh chứng khoán (1),1. Doanh thu thuần hoạt động kinh doanh chứng khoán (1),3.133.307.476.416,3.206.337.173.901,672.260.386.073,145.696.876.859,125.808.795.375,7.283.410.708.624,3133307476416.0,3206337173901.0,672260386073.0,145696876859.0,125808795375.0,7283410708624.0
2. Các chi phí trực tiếp,2. Các chi phí trực tiếp,2. Các chi phí trực tiếp,1.879.774.201.579,1.599.368.765.919,429.121.180.145,62.951.059.512,101.921.262.104,4.073.136.469.259,1879774201579.0,1599368765919.0,429121180145.0,62951059512.0,101921262104.0,4073136469259.0
3. Khẩu hao và các chi phí phân bổ,3. Khẩu hao và các chi phí phân bổ,3. Khẩu hao và các chi phí phân bổ,264.769.721.033,32.191.946.957,23.510.972.497,22.425.850.688,18.808.777.997,361.707.269.172,264769721033.0,32191946957.0,23510972497.0,22425850688.0,18808777997.0,361707269172.0
Lợi nhuận từ hoạt động kinh doanh trước thuế,Lợi nhuận từ hoạt động kinh doanh trước thuế,Lợi nhuận từ hoạt động kinh doanh trước thuế,988.763.553.804,1.574.776.461.025,219.628.233.431,60.319.966.659,5.078.755.274,2.848.566.970.193,988763553804.0,1574776461025.0,219628233431.0,60319966659.0,5078755274.0,2848566970193.0
Số dư tại ngày 31 tháng 12 năm 2023,Số dư tại ngày 31 tháng 12 năm 2023,Số dư tại ngày 31 tháng 12 năm 2023,Số dư tại ngày 31 tháng 12 năm 2023,Số dư tại ngày 31 tháng 12 năm 2023,Số dư tại ngày 31 tháng 12 năm 2023,Số dư tại ngày 31 tháng 12 năm 2023,Số dư tại ngày 31 tháng 12 năm 2023,Số dư tại ngày 31 tháng 12 năm 2023,,,,,,
1. Tài sản bộ phận,Số dư tại ngày 31 tháng 12 năm 2023 > 1. Tài sản bộ phận,1. Tài sản bộ phận,15.168.708.348.625,45.722.961.914.322,7.146.111.634.126,27.279.780.054,206.523.389.437,68.271.585.066.564,15168708348625.0,45722961914322.0,7146111634126.0,27279780054.0,206523389437.0,68271585066564.0
2. Tài sản phân bổ,Số dư tại ngày 31 tháng 12 năm 2023 > 2. Tài sản phân bổ,2. Tài sản phân bổ,325.328.507.618,39.554.968.823,28.888.460.376,27.555.146.820,23.110.768.301,444.437.851.938,325328507618.0,39554968823.0,28888460376.0,27555146820.0,23110768301.0,444437851938.0
3. Tài sản không phân bổ,Số dư tại ngày 31 tháng 12 năm 2023 > 3. Tài sản không phân bổ,3. Tài sản không phân bổ,,,,,,525.304.184.146,,,,,,525304184146.0
Tổng tài sản,Số dư tại ngày 31 tháng 12 năm 2023 > Tổng tài sản,Tổng tài sản,15.494.036.856.243,45.762.516.883.145,7.175.000.094.502,54.834.926.874,229.634.157.738,69.241.327.102.648,15494036856243.0,45762516883145.0,7175000094502.0,54834926874.0,229634157738.0,69241327102648.0
4. Nợ phải trả bộ phận,Số dư tại ngày 31 tháng 12 năm 2023 > 4. Nợ phải trả bộ phận,4. Nợ phải trả bộ phận,10.848.000.563.524,31.007.696.148.338,3.316.184.623.380,3.776.201.551,10.737.079.324,45.186.394.616.117,10848000563524.0,31007696148338.0,3316184623380.0,3776201551.0,10737079324.0,45186394616117.0
5. Nợ phân bổ,Số dư tại ngày 31 tháng 12 năm 2023 > 5. Nợ phân bổ,5. Nợ phân bổ,301.189.178.212,36.619.995.712,26.744.940.688,25.510.558.810,21.395.952.551,411.460.625.973,301189178212.0,36619995712.0,26744940688.0,25510558810.0,21395952551.0,411460625973.0
6. Nợ không phân bổ,Số dư tại ngày 31 tháng 12 năm 2023 > 6. Nợ không phân bổ,6. Nợ không phân bổ,,,,,,402.579.749.745,,,,,,402579749745.0
Tổng công nợ,Số dư tại ngày 31 tháng 12 năm 2023 > Tổng công nợ,Tổng công nợ,11.149.189.741.736,31.044.316.144.050,3.342.929.564.068,29.286.760.361,32.133.031.875,46.000.434.991.835,11149189741736.0,31044316144050.0,3342929564068.0,29286760361.0,32133031875.0,46000434991835.0
