row_label_raw,row_label_full,CHÍ TIÊU,Thuyết minh,Số dư đầu năm > Ngày 01 tháng 01 năm 2022 > VND,Số dư đầu năm > Ngày 01 tháng 01 năm 2023 > VND,Số tăng/giảm > Năm trước > Tăng > VND,Số tăng/giảm > Năm trước > Giảm > VND,Số tăng/giảm > Năm nay > Tăng > VND,Số tăng/giảm > Năm nay > Giảm > VND,Số dư cuối năm > Ngày 31 tháng 12 năm 2022 > VND,Số dư cuối năm > Ngày 31 tháng 12 năm 2023 > VND,numeric__Thuyết minh,numeric__Số dư đầu năm > Ngày 01 tháng 01 năm 2022 > VND,numeric__Số dư đầu năm > Ngày 01 tháng 01 năm 2023 > VND,numeric__Số tăng/giảm > Năm trước > Tăng > VND,numeric__Số tăng/giảm > Năm trước > Giảm > VND,numeric__Số tăng/giảm > Năm nay > Tăng > VND,numeric__Số tăng/giảm > Năm nay > Giảm > VND,numeric__Số dư cuối năm > Ngày 31 tháng 12 năm 2022 > VND,numeric__Số dư cuối năm > Ngày 31 tháng 12 năm 2023 > VND
A,A,A,B,1,2,3,4,5,6,7,8,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
I. BIẾN ĐÔNG VỐN CHỦ SỞ HỮU,I. BIẾN ĐÔNG VỐN CHỦ SỞ HỮU,I. BIẾN ĐÔNG VỐN CHỦ SỞ HỮU,,,,,,,,,,,,,,,,,,
1. Vốn đầu tư của chủ sở hữu,I. BIẾN ĐÔNG VỐN CHỦ SỞ HỮU > 1. Vốn đầu tư của chủ sở hữu,1. Vốn đầu tư của chủ sở hữu,,10.642.685.440.635,18.191.406.836.235,7.544.558.359.871,4.163.035.729,100.000.000.000,(12.000.000),18.191.406.836.235,18.291.394.836.235,,10642685440635.0,18191406836235.0,7544558359871.0,4163035729.0,100000000000.0,-12000000.0,18191406836235.0,18291394836235.0
1.1. Có phiếu phố thông,I. BIẾN ĐÔNG VỐN CHỦ SỞ HỮU > 1.1. Có phiếu phố thông,1.1. Có phiếu phố thông,29.2,9.847.500.220.000,14.911.301.370.000,5.063.801.150.000,-,100.000.000.000,-,14.911.301.370.000,15.011.301.370.000,292.0,9847500220000.0,14911301370000.0,5063801150000.0,,100000000000.0,,14911301370000.0,15011301370000.0
1.2. Thắng dư vốn cổ phần,I. BIẾN ĐÔNG VỐN CHỦ SỞ HỮU > 1.2. Thắng dư vốn cổ phần,1.2. Thắng dư vốn cổ phần,,817.169.133.373,3.299.220.472.644,2.482.124.439.271,(73.100.000),-,(12.000.000),3.299.220.472.644,3.299.208.472.644,,817169133373.0,3299220472644.0,2482124439271.0,-73100000.0,,-12000000.0,3299220472644.0,3299208472644.0
1.3. Có phiếu quỹ,I. BIẾN ĐÔNG VỐN CHỦ SỞ HỮU > 1.3. Có phiếu quỹ,1.3. Có phiếu quỹ,,(21.983.912.738),(19.115.006.409),(1.367.229.400),4.236.135.729,-,-,(19.115.006.409),(19.115.006.409),,-21983912738.0,-19115006409.0,-1367229400.0,4236135729.0,,,-19115006409.0,-19115006409.0
2. Quỹ dự trữ bổ sung vốn điều lệ,I. BIẾN ĐÔNG VỐN CHỦ SỞ HỮU > 2. Quỹ dự trữ bổ sung vốn điều lệ,2. Quỹ dự trữ bổ sung vốn điều lệ,,61.252.419.507,61.252.419.507,-,-,-,-,61.252.419.507,61.252.419.507,,61252419507.0,61252419507.0,,,,,61252419507.0,61252419507.0
3. Quỹ dự phòng tài chính và rủi ro nghiệp vụ,I. BIẾN ĐÔNG VỐN CHỦ SỞ HỮU > 3. Quỹ dự phòng tài chính và rủi ro nghiệp vụ,3. Quỹ dự phòng tài chính và rủi ro nghiệp vụ,,495.932.169.472,-,-,(495.932.169.472),-,-,-,-,,495932169472.0,,,-495932169472.0,,,,
4. Chênh lệch đánh giá lại tài sản theo giá trị hợp lý,I. BIẾN ĐÔNG VỐN CHỦ SỞ HỮU > 4. Chênh lệch đánh giá lại tài sản theo giá trị hợp lý,4. Chênh lệch đánh giá lại tài sản theo giá trị hợp lý,,(3.793.033.106),(6.286.385.840),4.320.734.436,(6.814.087.170),38.110.659.605,(35.617.306.871),(6.286.385.840),(3.793.033.106),,-3793033106.0,-6286385840.0,4320734436.0,-6814087170.0,38110659605.0,-35617306871.0,-6286385840.0,-3793033106.0
5. Chênh lệch tỷ giá hối đoái,I. BIẾN ĐÔNG VỐN CHỦ SỞ HỮU > 5. Chênh lệch tỷ giá hối đoái,5. Chênh lệch tỷ giá hối đoái,,33.624.236.089,44.775.287.721,11.151.051.632,-,10.467.868.074,-,44.775.287.721,55.243.155.795,,33624236089.0,44775287721.0,11151051632.0,,10467868074.0,,44775287721.0,55243155795.0
6. Lợi nhuận chưa phân phối,I. BIẾN ĐÔNG VỐN CHỦ SỞ HỮU > 6. Lợi nhuận chưa phân phối,6. Lợi nhuận chưa phân phối,,2.927.812.985.141,3.953.892.022.051,2.711.996.861.902,(1.685.917.824.992),2.590.307.440.461,(1.847.937.951.259),3.953.892.022.051,4.696.261.511.253,,2927812985141.0,3953892022051.0,2711996861902.0,-1685917824992.0,2590307440461.0,-1847937951259.0,3953892022051.0,4696261511253.0
6.1. Lợi nhuận đã thực hiện,I. BIẾN ĐÔNG VỐN CHỦ SỞ HỮU > 6.1. Lợi nhuận đã thực hiện,6.1. Lợi nhuận đã thực hiện,29.1,2.798.808.974.439,4.080.124.452.649,2.461.131.643.480,(1.179.816.165.270),2.237.380.088.847,(1.552.531.599.213),4.080.124.452.649,4.764.972.942.283,291.0,2798808974439.0,4080124452649.0,2461131643480.0,-1179816165270.0,2237380088847.0,-1552531599213.0,4080124452649.0,4764972942283.0
6.2. Lợi nhuận chưa thực hiện,I. BIẾN ĐÔNG VỐN CHỦ SỞ HỮU > 6.2. Lợi nhuận chưa thực hiện,6.2. Lợi nhuận chưa thực hiện,29.1,129.004.010.702,(126.232.430.598),250.865.218.422,(506.101.659.722),352.927.351.614,(295.406.352.046),(126.232.430.598),(68.711.431.030),291.0,129004010702.0,-126232430598.0,250865218422.0,-506101659722.0,352927351614.0,-295406352046.0,-126232430598.0,-68711431030.0
7. Lợi ích cổ đông không kiểm soát,I. BIẾN ĐÔNG VỐN CHỦ SỞ HỮU > 7. Lợi ích cổ đông không kiểm soát,7. Lợi ích cổ đông không kiểm soát,,62.568.512.410,138.841.784.986,77.900.000.000,(1.626.727.424),1.691.436.143,-,138.841.784.986,140.533.221.129,,62568512410.0,138841784986.0,77900000000.0,-1626727424.0,1691436143.0,,138841784986.0,140533221129.0
TỔNG CỘNG,I. BIẾN ĐÔNG VỐN CHỦ SỞ HỮU > TỔNG CỘNG,TỔNG CỘNG,,14.220.082.730.148,22.383.881.964.660,10.349.927.007.841,(2.186.127.773.329),2.740.577.404.283,(1.883.567.258.130),22.383.881.964.660,23.240.892.110.813,,14220082730148.0,22383881964660.0,10349927007841.0,-2186127773329.0,2740577404283.0,-1883567258130.0,22383881964660.0,23240892110813.0
