row_label_raw,row_label_full,col_0,Số dư đầu năm,Số phát sinh trong năm > Số phải nộp,Số phát sinh trong năm > Số đã nộp,Số dư cuối năm,numeric__Số dư đầu năm,numeric__Số phát sinh trong năm > Số phải nộp,numeric__Số phát sinh trong năm > Số đã nộp,numeric__Số dư cuối năm
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,
1. Thuế GTGT,1. Thuế GTGT,1. Thuế GTGT,828,16.010,(15.851),987,828.0,16010.0,-15851.0,987.0
2. Thuế TNDN,2. Thuế TNDN,2. Thuế TNDN,40.823,206.439,(183.320),63.942,40823.0,206439.0,-183320.0,63942.0
"3. Các khoản phí, lệ phí và các khoản phải nộp khác","3. Các khoản phí, lệ phí và các khoản phải nộp khác","3. Các khoản phí, lệ phí và các khoản phải nộp khác",6.041,114.719,(103.227),17.533,6041.0,114719.0,-103227.0,17533.0
,,,47.692,337.168,(302.398),82.462,47692.0,337168.0,-302398.0,82462.0
