row_label_raw,row_label_full,STT,Chỉ tiêu,Thuyết minh,31/12/2022 > Triệu VND,31/12/2021 > Triệu VND,numeric__Chỉ tiêu,numeric__Thuyết minh,numeric__31/12/2022 > Triệu VND,numeric__31/12/2021 > Triệu VND
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
I,B > I,I,Các khoản nợ Chính phủ và Ngân hàng Nhà nước,18,52.584,95.504,,18.0,52584.0,95504.0
1,B > 1,1,"Tiền gửi và vay Chính phủ, NHNN",,52.584,95.504,,,52584.0,95504.0
II,B > II,II,Tiền gửi và vay các tổ chức tín dụng khác,19,11.090.139,9.086.568,,19.0,11090139.0,9086568.0
1,B > 1,1,Tiền gửi của các tổ chức tín dụng khác,,11.047.110,9.060.479,,,11047110.0,9060479.0
2,B > 2,2,Vay các tổ chức tín dụng khác,,43.029,26.089,,,43029.0,26089.0
III,B > III,III,Tiền gửi của khách hàng,20,96.904.601,93.440.398,,20.0,96904601.0,93440398.0
V,B > V,V,"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",21,3.120,3.671,,21.0,3120.0,3671.0
VI,B > VI,VI,Phát hành giấy tờ có giá,22,7.837.881,5.313.965,,22.0,7837881.0,5313965.0
VII,B > VII,VII,Các khoản nợ khác,,3.104.782,2.800.557,,,3104782.0,2800557.0
1,B > 1,1,"Các khoản lãi, phí phải trả",,2.624.364,2.540.562,,,2624364.0,2540562.0
3,B > 3,3,Các khoản phải trả và công nợ khác,23,480.418,259.995,,23.0,480418.0,259995.0
,,,TỔNG NỘ PHẢI TRẢ,,118.993.107,110.740.663,,,118993107.0,110740663.0
VIII,B > VIII,VIII,Vốn chủ sở hữu,24,9.800.431,9.051.143,,24.0,9800431.0,9051143.0
1,B > 1,1,Vốn của tổ chức tín dụng,,8.141.261,7.538.753,,,8141261.0,7538753.0
\( a \),B > \( a \),\( a \),Vốn điều lệ,,8.133.863,7.531.355,,,8133863.0,7531355.0
\( c \),B > \( c \),\( c \),Thặng dư vốn cổ phần,,7.398,7.398,,,7398.0,7398.0
2,B > 2,2,Quỹ của tổ chức tín dụng,,794.817,686.254,,,794817.0,686254.0
5,B > 5,5,Lợi nhuận chưa phân phối,,864.353,826.136,,,864353.0,826136.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,128.793.538,119.791.806,,,128793538.0,119791806.0
