row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tinh,Cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tinh,numeric__Cộng
,,,Triệu VND,Triệu VND,Triệu VND,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,564.919,109.544,674.463,564919.0,109544.0,674463.0
- Mua trong năm,Nguyên giá > - Mua trong năm,- Mua trong năm,-,7.750,7.750,,7750.0,7750.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,564.919,117.294,682.213,564919.0,117294.0,682213.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,7.999,81.680,89.679,7999.0,81680.0,89679.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,811,7.648,8.459,811.0,7648.0,8459.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,8.810,89.328,98.138,8810.0,89328.0,98138.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,556.920,27.864,584.784,556920.0,27864.0,584784.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,556.109,27.966,584.075,556109.0,27966.0,584075.0
