row_label_raw,row_label_full,Bà Trần Thị Thơáng,Chủ tịch,numeric__Chủ tịch
Bà Thái Hương,Bà Thái Hương,Bà Thái Hương,Phó Chủ tịch,
Ông Võ Văn Quang,Ông Võ Văn Quang,Ông Võ Văn Quang,Uỷ viên,
Ông Đăng Thái Nguyên,Ông Đăng Thái Nguyên,Ông Đăng Thái Nguyên,Uỷ viên,
Ông Nguyễn Hữu Phàng,Ông Nguyễn Hữu Phàng,Ông Nguyễn Hữu Phàng,Uỷ viên,
