row_label_raw,row_label_full,STT,Chỉ tiêu,Thuyết minh,31/12/2022 > Triệu VND,31/12/2021 > Triệu VND,numeric__Chỉ tiêu,numeric__Thuyết minh,numeric__31/12/2022 > Triệu VND,numeric__31/12/2021 > Triệu VND
A,A,A,TÀI SẢN,,,,,,,
I,A > I,I,"Tiền mặt, vàng bạc, đá quý",5,711.783,649.952,,5.0,711783.0,649952.0
II,A > II,II,Tiền gửi tại Ngân hàng Nhà nước,6,786.421,1.023.135,,6.0,786421.0,1023135.0
III,A > III,III,Tiền gửi và cho vay các tổ chức tín dụng khác,7,11.894.805,10.596.053,,7.0,11894805.0,10596053.0
1,A > 1,1,Tiền gửi tại các tổ chức tín dụng khác,,11.037.227,8.680.350,,,11037227.0,8680350.0
2,A > 2,2,Cho vay các tổ chức tín dụng khác,,857.578,1.915.703,,,857578.0,1915703.0
IV,A > IV,IV,Chứng khoán kinh doanh,8,4.768.290,8.528.001,,8.0,4768290.0,8528001.0
1,A > 1,1,Chứng khoán kinh doanh,,4.768.290,8.528.001,,,4768290.0,8528001.0
V,A > V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác,9,103.023,5.097,,9.0,103023.0,5097.0
VI,A > VI,VI,Cho vay khách hàng,,93.073.482,83.538.267,,,93073482.0,83538267.0
1,A > 1,1,Cho vay khách hàng,10,94.120.600,84.598.379,,10.0,94120600.0,84598379.0
2,A > 2,2,Dự phòng rủi ro cho vay khách hàng,11,(1.047.118),(1.060.112),,11.0,-1047118.0,-1060112.0
VIII,A > VIII,VIII,Chứng khoán đầu tư,12,12.948.408,11.865.780,,12.0,12948408.0,11865780.0
1,A > 1,1,Chứng khoán đầu tư sẵn sàng để bán,,12.976.384,11.882.280,,,12976384.0,11882280.0
3,A > 3,3,Dự phòng rủi ro chứng khoán đầu tư,,(27.976),(16.500),,,-27976.0,-16500.0
IX,A > IX,IX,"Góp vốn, đầu tư dài hạn",13,142.878,147.032,,13.0,142878.0,147032.0
4,A > 4,4,Đầu tư dài hạn khác,,162.845,162.845,,,162845.0,162845.0
5,A > 5,5,Dự phòng giảm giá đầu tư dài hạn,,(19.967),(15.813),,,-19967.0,-15813.0
X,A > X,X,Tài sản cố định,,761.286,759.258,,,761286.0,759258.0
1.,A > 1.,1.,Tài sản cố định hữu hình,14,177.211,174.474,,14.0,177211.0,174474.0
a,A > a,a,Nguyên giá TSCĐ,,472.778,439.063,,,472778.0,439063.0
b,A > b,b,Hao mòn TSCĐ,,(295.567),(264.589),,,-295567.0,-264589.0
3.,A > 3.,3.,Tài sản cố định vô hình,15,584.075,584.784,,15.0,584075.0,584784.0
a,A > a,a,Nguyên giá TSCĐ,,682.213,674.463,,,682213.0,674463.0
b,A > b,b,Hao mòn TSCĐ,,(98.138),(89.679),,,-98138.0,-89679.0
XI,A > XI,XI,Bất động sản đầu tư,16,3.683,14.461,,16.0,3683.0,14461.0
a,A > a,a,Nguyên giá BĐSDĐT,,3.683,14.461,,,3683.0,14461.0
XII,A > XII,XII,Tài sản Có khác,17,3.599.479,2.664.770,,17.0,3599479.0,2664770.0
1,A > 1,1,Các khoản phải thu,,663.435,191.405,,,663435.0,191405.0
2,A > 2,2,"Các khoản lãi, phí phải thu",,2.886.583,2.438.595,,,2886583.0,2438595.0
3,A > 3,3,Tài sản thuế TNDN hoãn lại,,82,83,,,82.0,83.0
4,A > 4,4,Tài sản Có khác,,49.379,34.687,,,49379.0,34687.0
,,,TỔNG TÀI SẢN CÓ,,128.793.538,119.791.806,,,128793538.0,119791806.0
