row_label_raw,row_label_full,col_0,Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực),Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày lập báo cáo) > Tài sản,Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày lập báo cáo) > Công nợ,numeric__Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực),numeric__Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày lập báo cáo) > Tài sản,numeric__Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày lập báo cáo) > Công nợ
,,,Triệu VND,Triệu VND,Triệu VND,,,
Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,103.023,103.023,-,103023.0,103023.0,
Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,103.023,103.023,-,103023.0,103023.0,
- Giao dịch hoán đổi tiền tệ,- Giao dịch hoán đổi tiền tệ,- Giao dịch hoán đổi tiền tệ,103.023,103.023,-,103023.0,103023.0,
Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,5.097,5.097,-,5097.0,5097.0,
Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,5.097,5.097,-,5097.0,5097.0,
- Giao dịch hoán đổi tiền tệ,- Giao dịch hoán đổi tiền tệ,- Giao dịch hoán đổi tiền tệ,5.097,5.097,-,5097.0,5097.0,
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,,,,,,
,,,,31/12/2022,31/12/2021,,,
,,,,Triệu VND,Triệu VND,,,
"Cho vay các tổ chức kinh tế, cá nhân trong nước","Cho vay khách hàng > Cho vay các tổ chức kinh tế, cá nhân trong nước","Cho vay các tổ chức kinh tế, cá nhân trong nước",,94.119.762,84.597.291,,94119762.0,84597291.0
"Cho vay bằng vốn tài trợ, ủy thác đầu tư","Cho vay khách hàng > Cho vay bằng vốn tài trợ, ủy thác đầu tư","Cho vay bằng vốn tài trợ, ủy thác đầu tư",,250,500,,250.0,500.0
Cho vay theo chỉ định của Chính phủ,Cho vay khách hàng > Cho vay theo chỉ định của Chính phủ,Cho vay theo chỉ định của Chính phủ,,588,588,,588.0,588.0
,,,,94.120.600,84.598.379,,94120600.0,84598379.0
Phân tích chất lượng nợ cho vay,Phân tích chất lượng nợ cho vay,Phân tích chất lượng nợ cho vay,,,,,,
,,,,31/12/2022,31/12/2021,,,
,,,,Triệu VND,Triệu VND,,,
Nợ dù tiêu chuẩn,Phân tích chất lượng nợ cho vay > Nợ dù tiêu chuẩn,Nợ dù tiêu chuẩn,,92.989.575,83.787.699,,92989575.0,83787699.0
Nợ cần chú ý,Phân tích chất lượng nợ cho vay > Nợ cần chú ý,Nợ cần chú ý,,617.146,155.377,,617146.0,155377.0
Nợ dưới tiêu chuẩn,Phân tích chất lượng nợ cho vay > Nợ dưới tiêu chuẩn,Nợ dưới tiêu chuẩn,,42.180,61.465,,42180.0,61465.0
Nợ nghi ngờ,Phân tích chất lượng nợ cho vay > Nợ nghi ngờ,Nợ nghi ngờ,,49.635,40.122,,49635.0,40122.0
Nợ có khả năng mất vốn,Phân tích chất lượng nợ cho vay > Nợ có khả năng mất vốn,Nợ có khả năng mất vốn,,422.064,553.716,,422064.0,553716.0
,,,,94.120.600,84.598.379,,94120600.0,84598379.0
Phân tích dư nợ theo thời gian,Phân tích dư nợ theo thời gian,Phân tích dư nợ theo thời gian,,,,,,
,,,,31/12/2022,31/12/2021,,,
,,,,Triệu VND,Triệu VND,,,
Nợ ngắn hạn,Phân tích dư nợ theo thời gian > Nợ ngắn hạn,Nợ ngắn hạn,,43.530.839,39.677.845,,43530839.0,39677845.0
Nợ trung hạn,Phân tích dư nợ theo thời gian > Nợ trung hạn,Nợ trung hạn,,14.211.964,13.994.574,,14211964.0,13994574.0
Nợ dài hạn,Phân tích dư nợ theo thời gian > Nợ dài hạn,Nợ dài hạn,,36.377.797,30.925.960,,36377797.0,30925960.0
,,,,94.120.600,84.598.379,,94120600.0,84598379.0
