row_label_raw,row_label_full,Tên đơn vị,Lĩnh vực kinh doanh,Số cuối năm > Tỷ lệ vốnnăm giữ%,Số cuối năm > Giá gốc đầu tưVND,Số đầu năm > Tỷ lệ vốnnăm giữ%,Số đầu năm > Giá gốc đầu tưVND,numeric__Lĩnh vực kinh doanh,numeric__Số cuối năm > Tỷ lệ vốnnăm giữ%,numeric__Số cuối năm > Giá gốc đầu tưVND,numeric__Số đầu năm > Tỷ lệ vốnnăm giữ%,numeric__Số đầu năm > Giá gốc đầu tưVND
Đồng NaiWaterfront (i),Đồng NaiWaterfront (i),Đồng NaiWaterfront (i),Bắtđộng sản,"50,00",2.892.788.954.518,-,-,,50.0,2892788954518.0,,
Paragon (ii),Paragon (ii),Paragon (ii),Bắtđộng sản,"50,53",1.064.123.884.249,"50,00",990.463.884.249,,50.53,1064123884249.0,50.0,990463884249.0
NNH Mizuki (iii),NNH Mizuki (iii),NNH Mizuki (iii),Bắtđộng sản,"50,00",540.000.000.000,"50,00",540.000.000.000,,50.0,540000000000.0,50.0,540000000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,4.496.912.838.767,,1.530.463.884.249,,,4496912838767.0,,1530463884249.0
