row_label_raw,row_label_full,Bên cho vay > Ngân hàng TMCP Quốc tế Việt Nam - Trung tâm kinh doanh khách hàng doanh nghiệp Hồ Chí Minh > Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Sầm Sơn > Ngân hàng TMCP Ngoại Thương Việt Nam - Chi nhánh TP.HCM > Ngân hàng TMCP Quân đội - Chi nhánh Sở giao dịch 2 > Ngân hàng TNHH MTV Standard Chartered (Việt Nam) - Chi nhánh TP.HCM,Số cuối năm VND > 199.382.736.837 > 131.330.666.890 > 93.960.386.380 > 17.758.609.493 > 17.485.379.377,Ngày đáo hạn > Từ ngày 21 tháng 6 năm 2026 đến ngày 18 tháng 9 năm 2026 > Từ ngày 20 tháng 6 năm 2026 đến ngày 24 tháng 9 năm 2026 > Từ ngày 25 tháng 1 năm 2026 đến ngày 20 tháng 6 năm 2026 > Ngày 27 tháng 7 năm 2026 > Ngày 23 tháng 5 năm 2026,"Lãi suất (%/năm) > 7,00 – 8,00 > 7,00 – 7,25 > 6,50 > 7,00 – 7,50 > 6,90","Hình thức đảm bảo > Tín chấp > Thừa 6262, Tờ bản đồ số 6, xã Bến Lức, Tỉnh Tây Ninh",numeric__Số cuối năm VND > 199.382.736.837 > 131.330.666.890 > 93.960.386.380 > 17.758.609.493 > 17.485.379.377,numeric__Ngày đáo hạn > Từ ngày 21 tháng 6 năm 2026 đến ngày 18 tháng 9 năm 2026 > Từ ngày 20 tháng 6 năm 2026 đến ngày 24 tháng 9 năm 2026 > Từ ngày 25 tháng 1 năm 2026 đến ngày 20 tháng 6 năm 2026 > Ngày 27 tháng 7 năm 2026 > Ngày 23 tháng 5 năm 2026,"numeric__Lãi suất (%/năm) > 7,00 – 8,00 > 7,00 – 7,25 > 6,50 > 7,00 – 7,50 > 6,90","numeric__Hình thức đảm bảo > Tín chấp > Thừa 6262, Tờ bản đồ số 6, xã Bến Lức, Tỉnh Tây Ninh"
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,459.917.778.977,,,,459917778977.0,,,
21.3 Vay dài hạn từ ngân hàng,21.3 Vay dài hạn từ ngân hàng,21.3 Vay dài hạn từ ngân hàng,21.3 Vay dài hạn từ ngân hàng,21.3 Vay dài hạn từ ngân hàng,21.3 Vay dài hạn từ ngân hàng,21.3 Vay dài hạn từ ngân hàng,,,,
Chi tiết các khoản vay dài hạn từ ngân hàng nhằm tài trợ và đầu tư cho dự án như sau:,Chi tiết các khoản vay dài hạn từ ngân hàng nhằm tài trợ và đầu tư cho dự án như sau:,Chi tiết các khoản vay dài hạn từ ngân hàng nhằm tài trợ và đầu tư cho dự án như sau:,Chi tiết các khoản vay dài hạn từ ngân hàng nhằm tài trợ và đầu tư cho dự án như sau:,Chi tiết các khoản vay dài hạn từ ngân hàng nhằm tài trợ và đầu tư cho dự án như sau:,Chi tiết các khoản vay dài hạn từ ngân hàng nhằm tài trợ và đầu tư cho dự án như sau:,Chi tiết các khoản vay dài hạn từ ngân hàng nhằm tài trợ và đầu tư cho dự án như sau:,,,,
Bên cho vay,Bên cho vay,Bên cho vay,Số cuối năm VND,Ngày đáo hạn,Lãi suất (%/năm),Hình thức đảm bảo,,,,
Ngân hàng TMCP Phương Đông - Chi nhánh TP.HCM,Bên cho vay > Ngân hàng TMCP Phương Đông - Chi nhánh TP.HCM,Ngân hàng TMCP Phương Đông - Chi nhánh TP.HCM,400.000.000.000,Ngày 25 tháng 10 năm 2027,"8,60","Quyền sở hữu tải sản phát sinh và tài sản bảo đảm chuyển tiếp tại dự án Khu dân cư Nam Long 2 tại Khu đô thị Nam Cần Thơ, Phường Cái Răng, TP. Cần Thơ",400000000000.0,,8.6,
