row_label_raw,row_label_full,col_0,Share capital,Share premium,Investment and development fund,Undistributed earnings,VND Total,numeric__Share capital,numeric__Share premium,numeric__Investment and development fund,numeric__Undistributed earnings,numeric__VND Total
Previous year,Previous year,Previous year,Previous year,Previous year,Previous year,Previous year,Previous year,,,,,
Beginning balance,Beginning balance,Beginning balance,"3,847,774,710,000","2,431,271,455,967","5,940,860,165","1,964,612,327,881","8,249,599,354,013",,,,,
Net profit for the year,Net profit for the year,Net profit for the year,-,-,-,"837,292,883,330","837,292,883,330",,,,,
Cash dividends declared,Cash dividends declared,Cash dividends declared,-,-,-,"(192,003,958,029)","(192,003,958,029)",,,,,
Contribution to bonus and welfare funds,Contribution to bonus and welfare funds,Contribution to bonus and welfare funds,-,-,-,"(33,860,000,000)","(33,860,000,000)",,,,,
Ending balance,Ending balance,Ending balance,"3,847,774,710,000","2,431,271,455,967","5,940,860,165","2,576,041,253,182","8,861,028,279,314",,,,,
Current year,Current year,Current year,Current year,Current year,Current year,Current year,Current year,,,,,
Beginning balance,Beginning balance,Beginning balance,"3,847,774,710,000","2,431,271,455,967","5,940,860,165","2,576,041,253,182","8,861,028,279,314",,,,,
Net profit for the year,Net profit for the year,Net profit for the year,-,-,-,"751,036,477,132","751,036,477,132",,,,,
Cash dividends declared (i),Cash dividends declared (i),Cash dividends declared (i),-,-,-,"(192,152,576,696)","(192,152,576,696)",,,,,
Issuance share in accordance to the Executive Stock Grant program (ii),Issuance share in accordance to the Executive Stock Grant program (ii),Issuance share in accordance to the Executive Stock Grant program (ii),"2,978,330,000",-,-,-,"2,978,330,000",,,,,
Issuance of shares (iii),Issuance of shares (iii),Issuance of shares (iii),"1,000,220,790,000","1,499,366,485,000",-,-,"2,499,587,275,000",,,,,
Contribution to bonus and welfare funds (iv),Contribution to bonus and welfare funds (iv),Contribution to bonus and welfare funds (iv),-,-,-,"(28,130,000,000)","(28,130,000,000)",,,,,
Ending balance,Ending balance,Ending balance,"4,850,973,830,000","3,930,637,940,967","5,940,860,165","3,106,795,153,618","11,894,347,784,750",,,,,
