row_label_raw,row_label_full,Bên liên quan > Nam Long VCD,Mối quan hệ > Công ty con,Nội dung nghiệp vụ > Cho vay > Thu nợ vay > Hoàn tiền tạm ứng > Doanh thu từ dịch vụquản lý dự án (*) > Lãi cho vay > Chi phí thuê > Nhận trước dịch vụtổng thầu > Nhận cổ tức > Phí dịch vụ quản lý,Năm nay > 590.000.000.000 > 400.000.000.000 > 201.742.495.995 > 84.801.828.605 > 5.175.555.555 > 539.774.181 > -,VNDNăm trước > - > 379.330.992.502 > - > 536.325.726 > 199.551.338.000 > 13.124.192.220 > 87.687.268,numeric__Mối quan hệ > Công ty con,numeric__Nội dung nghiệp vụ > Cho vay > Thu nợ vay > Hoàn tiền tạm ứng > Doanh thu từ dịch vụquản lý dự án (*) > Lãi cho vay > Chi phí thuê > Nhận trước dịch vụtổng thầu > Nhận cổ tức > Phí dịch vụ quản lý,numeric__Năm nay > 590.000.000.000 > 400.000.000.000 > 201.742.495.995 > 84.801.828.605 > 5.175.555.555 > 539.774.181 > -,numeric__VNDNăm trước > - > 379.330.992.502 > - > 536.325.726 > 199.551.338.000 > 13.124.192.220 > 87.687.268
Đồng Nai Waterfront,Đồng Nai Waterfront,Đồng Nai Waterfront,Công ty liên doanh,Thoái vốn,2.892.788.954.518,-,,,2892788954518.0,
Đồng Nai Waterfront,Đồng Nai Waterfront,Đồng Nai Waterfront,Công ty liên doanh,Cho vay,435.127.112.000,-,,,435127112000.0,
Đồng Nai Waterfront,Đồng Nai Waterfront,Đồng Nai Waterfront,Công ty liên doanh,Doanh thu từ dịch vụquản lý dự án (*),14.924.761.526,48.716.614.825,,,14924761526.0,48716614825.0
Đồng Nai Waterfront,Đồng Nai Waterfront,Đồng Nai Waterfront,Công ty liên doanh,Lãi cho vay,6.353.260.180,-,,,6353260180.0,
Southgate,Southgate,Southgate,Công ty con,Doanh thu từ dịch vụquản lý dự án (*),116.709.301.000,239.372.700.741,,,116709301000.0,239372700741.0
Southgate,Southgate,Southgate,Công ty con,Nhận cổ tức,57.000.000.000,57.000.000.000,,,57000000000.0,57000000000.0
Southgate,Southgate,Southgate,Công ty con,Phí tư vấn quản lý,-,1.091.614.789,,,,1091614789.0
Nam Long Land,Nam Long Land,Nam Long Land,Công ty con,Phí tư vấn quản lý,864.199.553.052,471.050.018.921,,,864199553052.0,471050018921.0
Nam Long Land,Nam Long Land,Nam Long Land,Công ty con,Phải thu cổ tức,120.000.000.000,-,,,120000000000.0,
Nam Long Land,Nam Long Land,Nam Long Land,Công ty con,Góp vốn,-,480.589.037.000,,,,480589037000.0
Nam Long Land,Nam Long Land,Nam Long Land,Công ty con,Phải thu từ việc chuyểnnhượng cổ phần,-,168.334.000.000,,,,168334000000.0
Nam Long Land,Nam Long Land,Nam Long Land,Công ty con,Thanh lý tài sản,-,326.278.893,,,,326278893.0
NNH Mizuki,NNH Mizuki,NNH Mizuki,Công ty liên doanh,Nhận cổ tức,75.000.000.000,250.684.000.000,,,75000000000.0,250684000000.0
NNH Mizuki,NNH Mizuki,NNH Mizuki,Công ty liên doanh,Doanh thu từ dịch vụquản lý dự án (*),12.744.937.972,188.934.893.557,,,12744937972.0,188934893557.0
NNH Mizuki,NNH Mizuki,NNH Mizuki,Công ty liên doanh,Phải thu cổ tức,-,7.200.000.000,,,,7200000000.0
Nam Khang,Nam Khang,Nam Khang,,Cổ tức được chia,52.000.000.000,-,,,52000000000.0,
Nam Khang,Nam Khang,Nam Khang,,Trả gốc vay,40.000.000.000,60.000.000.000,,,40000000000.0,60000000000.0
Nam Khang,Nam Khang,Nam Khang,,Lãi vay,8.201.907.068,8.399.250.001,,,8201907068.0,8399250001.0
Nam Khang,Nam Khang,Nam Khang,,Chi phí xây dựng,164.922.137.932,241.248.363.247,,,164922137932.0,241248363247.0
Nam Khang,Nam Khang,Nam Khang,,Vay,-,60.000.000.000,,,,60000000000.0
Nam Khang,Nam Khang,Nam Khang,,Lãi trả chậm,-,1.077.187.262,,,,1077187262.0
Nam Long ADC,Nam Long ADC,Nam Long ADC,Công ty con,Phí dịch vụ quản lý,20.148.763,5.499.752.774,,,20148763.0,5499752774.0
Nam Long ADC,Nam Long ADC,Nam Long ADC,Công ty con,Nhận cổ tức,-,17.000.000.000,,,,17000000000.0
